t,t_start,t_end,start_min,end_min,price,load_kw,pv_kw,load_kwh,pv_kwh
1,00:00,00:10,0,10,0.4276,3444.7259,0.0,574.1209833333332,0.0
2,00:10,00:20,10,20,0.4248,3439.8466,0.0,573.3077666666666,0.0
3,00:20,00:30,20,30,0.4245,3437.9792,0.0,572.9965333333333,0.0
4,00:30,00:40,30,40,0.4269,3444.3031,0.0,574.0505166666667,0.0
5,00:40,00:50,40,50,0.4272,3454.4437,0.0,575.7406166666666,0.0
6,00:50,01:00,50,60,0.4271,3458.8273,0.0,576.4712166666666,0.0
7,01:00,01:10,60,70,0.4285,3459.8401,0.0,576.6400166666666,0.0
8,01:10,01:20,70,80,0.4311,3467.1582,0.0,577.8597,0.0
9,01:20,01:30,80,90,0.4302,3467.9632,0.0,577.9938666666667,0.0
10,01:30,01:40,90,100,0.4279,3466.9683,0.0,577.82805,0.0
11,01:40,01:50,100,110,0.4312,3482.4927,0.0,580.41545,0.0
12,01:50,02:00,110,120,0.4333,3495.0841,0.0,582.5140166666666,0.0
13,02:00,02:10,120,130,0.4311,3498.4443,0.0,583.0740499999999,0.0
14,02:10,02:20,130,140,0.4293,3505.2295,0.0,584.2049166666666,0.0
15,02:20,02:30,140,150,0.4324,3512.6387,0.0,585.4397833333333,0.0
16,02:30,02:40,150,160,0.4367,3516.8685,0.0,586.1447499999999,0.0
17,02:40,02:50,160,170,0.4348,3517.9246,0.0,586.3207666666666,0.0
18,02:50,03:00,170,180,0.4335,3518.5518,0.0,586.4253,0.0
19,03:00,03:10,180,190,0.4357,3521.0976,0.0,586.8496,0.0
20,03:10,03:20,190,200,0.4374,3526.9261,0.0,587.8210166666667,0.0
21,03:20,03:30,200,210,0.4371,3537.2854,0.0,589.5475666666666,0.0
22,03:30,03:40,210,220,0.4356,3544.8808,0.0,590.8134666666666,0.0
23,03:40,03:50,220,230,0.4353,3541.2787,0.0,590.2131166666666,0.0
24,03:50,04:00,230,240,0.436,3546.3976,0.0,591.0662666666666,0.0
25,04:00,04:10,240,250,0.4378,3560.207,0.0,593.3678333333332,0.0
26,04:10,04:20,250,260,0.4401,3561.9581,0.0,593.6596833333333,0.0
27,04:20,04:30,260,270,0.4389,3556.7183,0.0,592.7863833333333,0.0
28,04:30,04:40,270,280,0.4364,3560.0272,0.0,593.3378666666666,0.0
29,04:40,04:50,280,290,0.4393,3580.654,0.5994,596.7756666666667,0.0999
30,04:50,05:00,290,300,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333
31,05:00,05:10,300,310,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325
32,05:10,05:20,310,320,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668
33,05:20,05:30,320,330,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999
34,05:30,05:40,330,340,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665
35,05:40,05:50,340,350,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333
36,05:50,06:00,350,360,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667
37,06:00,06:10,360,370,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332
38,06:10,06:20,370,380,0.9368,4454.0123,521.2803,742.3353833333333,86.88005
39,06:20,06:30,380,390,0.8758,4371.7919,672.7677,728.6319833333333,112.12795
40,06:30,06:40,390,400,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998
41,06:40,06:50,400,410,0.8601,4384.5956,1039.6744,730.7659333333332,173.27906666666667
42,06:50,07:00,410,420,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335
43,07:00,07:10,420,430,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334
44,07:10,07:20,430,440,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845
45,07:20,07:30,440,450,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333
46,07:30,07:40,450,460,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685
47,07:40,07:50,460,470,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667
48,07:50,08:00,470,480,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666
49,08:00,08:10,480,490,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666
50,08:10,08:20,490,500,1.1683,5884.826,3593.3613,980.8043333333333,598.89355
51,08:20,08:30,500,510,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333
52,08:30,08:40,510,520,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333
53,08:40,08:50,520,530,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333
54,08:50,09:00,530,540,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666
55,09:00,09:10,540,550,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666
56,09:10,09:20,550,560,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999
57,09:20,09:30,560,570,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667
58,09:30,09:40,570,580,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333
59,09:40,09:50,580,590,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333
60,09:50,10:00,590,600,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665
61,10:00,10:10,600,610,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333
62,10:10,10:20,610,620,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968
63,10:20,10:30,620,630,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334
64,10:30,10:40,630,640,0.9549,5873.4708,6914.5923,978.9118,1152.43205
65,10:40,10:50,640,650,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755
66,10:50,11:00,650,660,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665
67,11:00,11:10,660,670,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857
68,11:10,11:20,670,680,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808
69,11:20,11:30,680,690,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998
70,11:30,11:40,690,700,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333
71,11:40,11:50,700,710,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667
72,11:50,12:00,710,720,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333
73,12:00,12:10,720,730,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055
74,12:10,12:20,730,740,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332
75,12:20,12:30,740,750,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332
76,12:30,12:40,750,760,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312
77,12:40,12:50,760,770,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564
78,12:50,13:00,770,780,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998
79,13:00,13:10,780,790,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965
80,13:10,13:20,790,800,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666
81,13:20,13:30,800,810,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998
82,13:30,13:40,810,820,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998
83,13:40,13:50,820,830,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334
84,13:50,14:00,830,840,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665
85,14:00,14:10,840,850,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665
86,14:10,14:20,850,860,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693
87,14:20,14:30,860,870,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333
88,14:30,14:40,870,880,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636
89,14:40,14:50,880,890,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511
90,14:50,15:00,890,900,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666
91,15:00,15:10,900,910,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332
92,15:10,15:20,910,920,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334
93,15:20,15:30,920,930,0.7217,5656.3651,4471.224,942.7275166666666,745.204
94,15:30,15:40,930,940,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375
95,15:40,15:50,940,950,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333
96,15:50,16:00,950,960,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999
97,16:00,16:10,960,970,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667
98,16:10,16:20,970,980,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997
99,16:20,16:30,980,990,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337
100,16:30,16:40,990,1000,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667
101,16:40,16:50,1000,1010,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333
102,16:50,17:00,1010,1020,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667
103,17:00,17:10,1020,1030,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805
104,17:10,17:20,1030,1040,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333
105,17:20,17:30,1040,1050,0.9742,5464.727,1036.3323,910.7878333333333,172.72205
106,17:30,17:40,1050,1060,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667
107,17:40,17:50,1060,1070,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333
108,17:50,18:00,1070,1080,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332
109,18:00,18:10,1080,1090,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666
