t,time_raw,price,typical_load_kw,typical_pv_kw,end_min,start_min,t_start,t_end
1,00:10:00,0.4248,3439.8466,0.0,10,0,00:00,00:10
2,00:20:00,0.4245,3437.9792,0.0,20,10,00:10,00:20
3,00:30:00,0.4269,3444.3031,0.0,30,20,00:20,00:30
4,00:40:00,0.4272,3454.4437,0.0,40,30,00:30,00:40
5,00:50:00,0.4271,3458.8273,0.0,50,40,00:40,00:50
6,01:00:00,0.4285,3459.8401,0.0,60,50,00:50,01:00
7,01:10:00,0.4311,3467.1582,0.0,70,60,01:00,01:10
8,01:20:00,0.4302,3467.9632,0.0,80,70,01:10,01:20
9,01:30:00,0.4279,3466.9683,0.0,90,80,01:20,01:30
10,01:40:00,0.4312,3482.4927,0.0,100,90,01:30,01:40
11,01:50:00,0.4333,3495.0841,0.0,110,100,01:40,01:50
12,02:00:00,0.4311,3498.4443,0.0,120,110,01:50,02:00
13,02:10:00,0.4293,3505.2295,0.0,130,120,02:00,02:10
14,02:20:00,0.4324,3512.6387,0.0,140,130,02:10,02:20
15,02:30:00,0.4367,3516.8685,0.0,150,140,02:20,02:30
16,02:40:00,0.4348,3517.9246,0.0,160,150,02:30,02:40
17,02:50:00,0.4335,3518.5518,0.0,170,160,02:40,02:50
18,03:00:00,0.4357,3521.0976,0.0,180,170,02:50,03:00
19,03:10:00,0.4374,3526.9261,0.0,190,180,03:00,03:10
20,03:20:00,0.4371,3537.2854,0.0,200,190,03:10,03:20
21,03:30:00,0.4356,3544.8808,0.0,210,200,03:20,03:30
22,03:40:00,0.4353,3541.2787,0.0,220,210,03:30,03:40
23,03:50:00,0.436,3546.3976,0.0,230,220,03:40,03:50
24,04:00:00,0.4378,3560.207,0.0,240,230,03:50,04:00
25,04:10:00,0.4401,3561.9581,0.0,250,240,04:00,04:10
26,04:20:00,0.4389,3556.7183,0.0,260,250,04:10,04:20
27,04:30:00,0.4364,3560.0272,0.0,270,260,04:20,04:30
28,04:40:00,0.4393,3580.654,0.5994,280,270,04:30,04:40
29,04:50:00,0.4422,3586.916,0.2345,290,280,04:40,04:50
30,05:00:00,0.4395,3571.2635,0.2885,300,290,04:50,05:00
31,05:10:00,0.4333,3562.3171,18.6781,310,300,05:00,05:10
32,05:20:00,0.4439,3591.3809,54.4698,320,310,05:10,05:20
33,05:30:00,0.4301,3579.7045,108.9718,330,320,05:20,05:30
34,05:40:00,0.3713,3486.119,184.1603,340,330,05:30,05:40
35,05:50:00,0.5708,3823.8994,277.0582,350,340,05:40,05:50
36,06:00:00,0.9099,4398.0727,388.5494,360,350,05:50,06:00
37,06:10:00,0.9368,4454.0123,521.2803,370,360,06:00,06:10
38,06:20:00,0.8758,4371.7919,672.7677,380,370,06:10,06:20
39,06:30:00,0.8759,4392.953,844.2261,390,380,06:20,06:30
40,06:40:00,0.8601,4384.5956,1039.6744,400,390,06:30,06:40
41,06:50:00,0.8442,4434.7757,1259.3375,410,400,06:40,06:50
42,07:00:00,0.8334,4523.4561,1508.6318,420,410,06:50,07:00
43,07:10:00,0.8092,4524.0721,1791.4107,430,420,07:00,07:10
44,07:20:00,0.7972,4545.8867,2085.4865,440,430,07:10,07:20
45,07:30:00,0.7644,4523.2418,2381.2611,450,440,07:20,07:30
46,07:40:00,0.6899,4383.3566,2683.1752,460,450,07:30,07:40
47,07:50:00,0.86,4910.4599,2986.3552,470,460,07:40,07:50
48,08:00:00,1.1617,5799.7327,3289.204,480,470,07:50,08:00
49,08:10:00,1.1683,5884.826,3593.3613,490,480,08:00,08:10
50,08:20:00,1.0956,5748.0713,3890.7332,500,490,08:10,08:20
51,08:30:00,1.0849,5769.0581,4181.3417,510,500,08:20,08:30
52,08:40:00,1.061,5754.2105,4471.7657,520,510,08:30,08:40
53,08:50:00,1.043,5824.1807,4752.8272,530,520,08:40,08:50
54,09:00:00,1.036,5954.2601,5021.9074,540,530,08:50,09:00
55,09:10:00,1.0147,5958.9696,5285.4126,550,540,09:00,09:10
56,09:20:00,0.9922,5929.5554,5543.1742,560,550,09:10,09:20
57,09:30:00,0.97,5923.7828,5788.4093,570,560,09:20,09:30
58,09:40:00,0.9422,5907.586,6012.1304,580,570,09:30,09:40
59,09:50:00,0.9569,5899.1262,6216.1528,590,580,09:40,09:50
60,10:00:00,0.9977,5902.2196,6409.5941,600,590,09:50,10:00
61,10:10,0.9919,5897.4793,6599.3808,610,600,10:00,10:10
62,10:20,0.9588,5886.7568,6766.7204,620,610,10:10,10:20
