slot,start_min,end_min,price_yuan_per_kwh,load_kw,pv_kw,net_kw,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,soc_end_kwh,soc0_kwh,date,policy
1,0,10,0.4276,3410.51,0,3410.51,1420.0721,833.3333333,0,0,18.32043333,2868.066053,2118.066053,2025-03-20,D_pv7d_adaptive
2,10,20,0.4248,3299.0689,0,3299.0689,1425.8541,833.3333333,0,0,42.67595,3618.066053,2118.066053,2025-03-20,D_pv7d_adaptive
3,20,30,0.4245,3421.881,0,3421.881,1423.7263,833.3333333,0,0,20.07946667,4368.066053,2118.066053,2025-03-20,D_pv7d_adaptive
4,30,40,0.4269,3683.11,0,3683.11,1425.0269,811.1752333,0,0,0,5098.123763,2118.066053,2025-03-20,D_pv7d_adaptive
5,40,50,0.4272,3476.737,0,3476.737,1430.6353,833.3333333,0,0,17.8458,5848.123763,2118.066053,2025-03-20,D_pv7d_adaptive
6,50,60,0.4271,3302.6695,0,3302.6695,1430.6129,833.3333333,0,0,46.83465,6598.123763,2118.066053,2025-03-20,D_pv7d_adaptive
7,60,70,0.4285,3426.94,0,3426.94,1430.2741,833.3333333,0,0,25.7841,7348.123763,2118.066053,2025-03-20,D_pv7d_adaptive
8,70,80,0.4311,3609.5343,0,3609.5343,592.7882,0,8.80085,0,0,7338.345041,2118.066053,2025-03-20,D_pv7d_adaptive
9,80,90,0.4302,3668.9025,0,3668.9025,1069.7702,458.28645,0,0,0,7750.802846,2118.066053,2025-03-20,D_pv7d_adaptive
10,90,100,0.4279,3589.3,0,3589.3,1422.7287,824.5120333,0,0,0,8492.863676,2118.066053,2025-03-20,D_pv7d_adaptive
11,100,110,0.4312,3503.6157,0,3503.6157,596.86715,12.9312,0,0,0,8504.501756,2118.066053,2025-03-20,D_pv7d_adaptive
12,110,120,0.4333,3545.9703,0,3545.9703,616.39406,25.39901,0,0,0,8527.360865,2118.066053,2025-03-20,D_pv7d_adaptive
13,120,130,0.4311,3590.66,0,3590.66,637.11274,38.66940667,0,0,0,8562.163331,2118.066053,2025-03-20,D_pv7d_adaptive
14,130,140,0.4293,3395.9017,0,3395.9017,1454.395,833.3333333,0,0,55.07805,9312.163331,2118.066053,2025-03-20,D_pv7d_adaptive
15,140,150,0.4324,3276.7246,0,3276.7246,618.23843,72.11766333,0,0,0,9377.069228,2118.066053,2025-03-20,D_pv7d_adaptive
16,150,160,0.4367,3394.28,0,3394.28,610.52665,44.81331667,0,0,0,9417.401213,2118.066053,2025-03-20,D_pv7d_adaptive
17,160,170,0.4348,3587.5594,0,3587.5594,619.7532,21.82663333,0,0,0,9437.045183,2118.066053,2025-03-20,D_pv7d_adaptive
18,170,180,0.4335,3605.7268,0,3605.7268,627.12225,26.16778333,0,0,0,9460.596188,2118.066053,2025-03-20,D_pv7d_adaptive
19,180,190,0.4357,3522.79,0,3522.79,639.79472,52.66305333,0,0,0,9507.992936,2118.066053,2025-03-20,D_pv7d_adaptive
20,190,200,0.4374,3631.2618,0,3631.2618,620.42075,15.21045,0,0,0,9521.682341,2118.066053,2025-03-20,D_pv7d_adaptive
21,200,210,0.4371,3731.3543,0,3731.3543,619.79047,0,2.101913333,0,0,9519.346882,2118.066053,2025-03-20,D_pv7d_adaptive
22,210,220,0.4356,3721.01,0,3721.01,623.84327,3.674936667,0,0,0,9522.654325,2118.066053,2025-03-20,D_pv7d_adaptive
23,220,230,0.4353,3699.7385,0,3699.7385,619.76589,3.142806667,0,0,0,9525.482851,2118.066053,2025-03-20,D_pv7d_adaptive
24,230,240,0.436,3674.7825,0,3674.7825,622.08113,9.61738,0,0,0,9534.138493,2118.066053,2025-03-20,D_pv7d_adaptive
25,240,250,0.4378,3623.58,0,3623.58,617.70595,13.77595,0,0,0,9546.536848,2118.066053,2025-03-20,D_pv7d_adaptive
26,250,260,0.4401,3538.7697,0.0019,3538.7678,621.32558,31.53094667,0,0,0,9574.9147,2118.066053,2025-03-20,D_pv7d_adaptive
27,260,270,0.4389,3488.7843,0,3488.7843,626.38879,44.92474,0,0,0,9615.346966,2118.066053,2025-03-20,D_pv7d_adaptive
