date,period,purchase_kwh
2025-03-20,10:00-10:10,0.0
2025-03-20,12:00-12:10,665.97178
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,473.60537
2025-03-20,18:00-18:10,743.26471
2025-03-20,20:00-20:10,0.0
2025-03-20,daily_purchase_kwh,71761.18481410001
2025-03-20,daily_plan_cost_yuan,43971.52128515959
2025-03-20,daily_emergency_cost_yuan,0.0
2025-03-20,daily_total_cost_yuan,43971.52128515959
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,0.0
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,134.86652
2025-06-21,18:00-18:10,440.86334
2025-06-21,20:00-20:10,0.0
2025-06-21,daily_purchase_kwh,35106.735082
2025-06-21,daily_plan_cost_yuan,20392.3622815378
2025-06-21,daily_emergency_cost_yuan,0.0
2025-06-21,daily_total_cost_yuan,20392.3622815378
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,567.7218
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,487.34971
2025-09-23,18:00-18:10,812.11055
2025-09-23,20:00-20:10,0.0
2025-09-23,daily_purchase_kwh,70090.16715
2025-09-23,daily_plan_cost_yuan,43609.046373814
2025-09-23,daily_emergency_cost_yuan,144.4171013501129
2025-09-23,daily_total_cost_yuan,43753.46347516411
2025-12-21,10:00-10:10,0.0
2025-12-21,12:00-12:10,1064.9252
2025-12-21,14:00-14:10,0.0
2025-12-21,16:00-16:10,854.57289
2025-12-21,18:00-18:10,740.98271
2025-12-21,20:00-20:10,0.0
2025-12-21,daily_purchase_kwh,99936.78596
2025-12-21,daily_plan_cost_yuan,64804.12540160729
2025-12-21,daily_emergency_cost_yuan,0.0
2025-12-21,daily_total_cost_yuan,64804.12540160729
