date,period,charge_kwh,discharge_kwh
2025-03-20,0:00-4:00,7718.292036666666,49.42336999999975
2025-03-20,4:00-8:00,968.99593547325,4426.5571659
2025-03-20,8:00-12:00,5458.123683333333,3265.5568
2025-03-20,12:00-16:00,4053.3308600823093,266.64350999999965
2025-03-20,16:00-20:00,111.18572374485612,4859.303213333334
2025-03-20,20:00-24:00,1815.7861033333338,3681.5403833333335
2025-03-20,soc_0:00_kwh,3308.164620814818,
2025-03-20,soc_24:00_kwh,3033.5025930000024,
2025-06-21,0:00-4:00,456.0682500000005,118.41537333333315
2025-06-21,4:00-8:00,542.2708100000001,1735.7981766666667
2025-06-21,8:00-12:00,9472.9007463786,0.0
2025-06-21,12:00-16:00,0.0,0.0
2025-06-21,16:00-20:00,89.44119999999998,5164.113956666666
2025-06-21,20:00-24:00,2268.707496666668,3017.499916666666
2025-06-21,soc_0:00_kwh,3436.1214520370395,
2025-06-21,soc_24:00_kwh,3831.651745518518,
2025-09-23,0:00-4:00,7992.53142,0.0
2025-09-23,4:00-8:00,722.9740568724252,5767.237906666665
2025-09-23,8:00-12:00,4774.600266666666,2387.9402999999993
2025-09-23,12:00-16:00,5581.228601234564,530.202513333333
2025-09-23,16:00-20:00,123.97440666666705,4997.03067
2025-09-23,20:00-24:00,1948.301086666667,3517.8416257333374
2025-09-23,soc_0:00_kwh,2993.4047052222236,
2025-09-23,soc_24:00_kwh,2911.261319814815,
2025-12-21,0:00-4:00,7847.311733333333,144.42503333333332
2025-12-21,4:00-8:00,1521.3146135390941,667.35862
2025-12-21,8:00-12:00,5135.59236,7756.254033733332
2025-12-21,12:00-16:00,7180.90572691358,2220.1094166666667
2025-12-21,16:00-20:00,0.0,4779.927206666666
2025-12-21,20:00-24:00,1929.147733333334,3622.7940999999996
2025-12-21,soc_0:00_kwh,3270.2181248518523,
2025-12-21,soc_24:00_kwh,3199.8759525925925,
