date,q_load,q_pv,q_source,feature,feature_value,feature_percentile,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh
2025-02-01,0.8,0.2,warmup,resid_vol7,283.1793647363486,,6000.0,2967.842313814815,46694.507971,25362.3011848204,0.0,0.0,25362.3011848204,12556.397740888891,0,0.0
2025-02-02,0.8,0.2,warmup,resid_vol7,275.68264781213804,,2967.842313814815,2318.014135,93532.621019,60387.6246134217,0.0,0.0,60387.6246134217,11974.549002304528,0,0.0
2025-02-03,0.8,0.2,warmup,resid_vol7,270.78561353355474,,2318.014135,1580.3923988148158,89935.0039973,56968.53490554313,6.148898366665321,42.89471500585728,57011.42962054899,6342.602006625519,0,0.0
2025-02-04,0.8,0.2,warmup,resid_vol7,272.3467785062559,,1580.3923988148158,1749.5589435185198,88218.33987600001,55762.8223459572,0.0,0.0,55762.8223459572,2222.676070000011,0,0.0
2025-02-05,0.8,0.2,warmup,resid_vol7,258.5900542822591,,1749.5589435185198,1721.150576555559,88645.605342,55891.7315605355,0.0,0.0,55891.7315605355,3351.521594897125,0,0.0
2025-02-06,0.8,0.2,warmup,resid_vol7,273.6611983040875,,1721.150576555559,2076.9519810000033,92345.162106,59048.958291123,0.0,0.0,59048.958291123,7405.755776913582,0,0.0
2025-02-07,0.8,0.2,warmup,resid_vol7,268.1608306560491,,2076.9519810000033,2776.8758276296285,49852.825785,26778.101869377002,0.0,0.0,26778.101869377002,13882.453722942399,0,0.0
2025-02-08,0.8,0.2,warmup,resid_vol7,306.93964634000895,,2776.8758276296285,2244.753220703703,42229.2723905,22433.5064505208,0.0,0.0,22433.5064505208,7920.23700290741,0,0.0
2025-02-09,0.8,0.2,warmup,resid_vol7,301.08131194317633,,2244.753220703703,1750.3807323703709,88952.65902316,56634.43908200551,0.0,0.0,56634.43908200551,5758.7720534485725,0,0.0
2025-02-10,0.8,0.2,warmup,resid_vol7,294.63134159116447,,1750.3807323703709,1846.514882111111,89065.64735799999,56485.4655690221,0.0,0.0,56485.4655690221,10885.659990699594,0,0.0
2025-02-11,0.8,0.2,warmup,resid_vol7,309.0317878519123,,1846.514882111111,1342.9726237777786,84774.15107600001,53177.1408091293,126.39342900000057,743.5809190397871,53920.72172816908,5966.183716049387,0,0.0
2025-02-12,0.8,0.2,warmup,resid_vol7,290.94336343429563,,1342.9726237777786,1976.5779823703688,87069.13972,54796.4769738643,0.0,0.0,54796.4769738643,7014.891405769546,0,0.0
2025-02-13,0.8,0.2,warmup,resid_vol7,274.6082763547825,,1976.5779823703688,2016.7363541481477,87887.1761109,55851.04323808236,0.0,0.0,55851.04323808236,12869.10022069959,0,0.0
2025-02-14,0.8,0.2,warmup,resid_vol7,302.27744022243644,,2016.7363541481477,2505.371109703703,41060.161797,21929.9475996419,0.0,0.0,21929.9475996419,7366.819811444444,0,0.0
2025-02-15,0.8,0.2,warmup,resid_vol7,274.02597376876145,,2505.371109703703,2110.9881943703704,39604.8892626,21145.69199385002,0.0,0.0,21145.69199385002,7570.804198361319,0,0.0
2025-02-16,0.8,0.2,warmup,resid_vol7,272.54606241433856,,2110.9881943703704,1839.9618525185206,84732.26830999998,53396.8901552967,28.319375000000036,128.83899656250017,53525.7291518592,5535.853306362141,0,0.0
2025-02-17,0.8,0.2,warmup,resid_vol7,269.2638603416224,,1839.9618525185206,1718.4671650740754,84111.2712304,52764.96499055356,0.0,0.0,52764.96499055356,9415.206469881496,0,0.0
2025-02-18,0.8,0.2,warmup,resid_vol7,257.56607243032016,,1718.4671650740754,1603.3932757037028,80914.67934999999,50406.2146808008,34.206666666666706,155.62323000000018,50561.837910800794,5004.428753246919,0,0.0
2025-02-19,0.8,0.2,warmup,resid_vol7,262.5890691714686,,1603.3932757037028,1555.672462703706,81826.599582,51022.4865367321,43.72858400000007,193.8397689380003,51216.3263056701,4811.706177193422,0,0.0
2025-02-20,0.8,0.2,warmup,resid_vol7,271.83913067220425,,1555.672462703706,2277.0700360740734,84675.453087,53186.7394560038,0.0,0.0,53186.7394560038,9017.732219526759,0,0.0
2025-02-21,0.8,0.2,warmup,resid_vol7,242.3564862758786,,2277.0700360740734,2659.410709814814,38737.959946,20799.7845616938,0.0,0.0,20799.7845616938,9589.741136288072,0,0.0
2025-02-22,0.7,0.3,rule,resid_vol7,239.79172947425394,0.0,2659.410709814814,2105.3878205925935,35262.712106,18747.4582786511,0.0,0.0,18747.4582786511,4922.214953448561,0,0.0
2025-02-23,0.7,0.3,rule,resid_vol7,235.39385462587234,0.0,2105.3878205925935,1581.5442397037057,79348.018105,49484.8792570005,0.0,0.0,49484.8792570005,4279.513133263372,0,0.0
2025-02-24,0.7,0.3,rule,resid_vol7,234.68313974895125,0.0,1581.5442397037057,1620.7093684074086,78903.38765084001,48756.39885023235,0.0,0.0,48756.39885023235,6773.991919185192,0,0.0
2025-02-25,0.7,0.3,rule,resid_vol7,237.49026698462436,0.08333333333333333,1620.7093684074086,1214.57022,76008.7650127,46643.51078819453,337.32082459999845,1639.8631438148052,48283.37393200934,7066.445356164612,0,0.0
2025-02-26,0.7,0.3,rule,resid_vol7,258.8424474170748,0.28,1214.57022,1662.5081465555618,76490.73273,47034.007321078694,0.0,0.0,47034.007321078694,3103.3921113991823,0,0.0
2025-02-27,0.7,0.3,rule,resid_vol7,252.27165285784952,0.19230769230769232,1662.5081465555618,1724.0452633333362,77390.829895,47869.2547685242,0.0,0.0,47869.2547685242,5985.16714353911,0,0.0
2025-02-28,0.7,0.3,rule,resid_vol7,261.46379723389805,0.3333333333333333,1724.0452633333362,2214.887231333335,36302.2837,19298.414044165598,0.0,0.0,19298.414044165598,9368.447828617293,0,0.0
