inner_end,select_start,inner_days,n_eligible,fell_back,pick,pick_select_gain_vs_q80,pick_inner_gain_vs_q80
2025-03-15,2025-03-16,43,10,False,resid_vol7_qmin0.60_k0.20,4854.031931464095,14099.85212138528
2025-03-22,2025-03-23,50,10,False,resid_vol7_qmin0.65_k0.20,6670.347379571293,5412.415230959887
2025-03-29,2025-03-30,57,10,False,resid_vol7_qmin0.70_k0.10,8674.402603223454,4366.121141956653
2025-04-05,2025-04-06,64,3,False,resid_vol7_qmin0.60_k0.20,12597.89360762341,6355.990445226431
2025-04-12,2025-04-13,71,3,False,resid_vol7_qmin0.60_k0.20,10403.17911666166,8550.70493618818
2025-04-19,2025-04-20,78,3,False,resid_vol7_qmin0.70_k0.10,8173.706577443518,4866.81716773659
2025-04-26,2025-04-27,85,8,False,resid_vol7_qmin0.65_k0.20,9812.582670785021,2270.1799397459254
2025-05-03,2025-05-04,92,5,False,resid_vol7_qmin0.65_k0.20,7623.982644241769,4458.779966289643
2025-05-10,2025-05-11,99,5,False,resid_vol7_qmin0.65_k0.20,8912.601351613877,3170.161258917302
2025-05-17,2025-05-18,106,5,False,resid_vol7_qmin0.65_k0.20,8912.601351613877,3170.1612589168362
2025-05-24,2025-05-25,113,5,False,resid_vol7_qmin0.65_k0.20,10823.46675358829,1259.2958569428883
2025-05-31,2025-06-01,120,4,False,resid_vol7_qmin0.65_k0.20,10823.46675358829,1259.295856943354
