label,feature,q_min,k,tune_total_cost,tune_plan_cost,tune_emergency_cost,tune_emergency_kwh,tune_n_days,tune_mean_q,inner_total_cost,inner_plan_cost,inner_emergency_cost,inner_emergency_kwh,inner_n_days,inner_mean_q,select_total_cost,select_plan_cost,select_emergency_cost,select_emergency_kwh,select_n_days,select_mean_q,n_validation_errors
resid_vol7_qmin0.60_k0.30,resid_vol7,0.6,0.3,5747931.1964135375,5593899.711139933,154031.48527360577,25569.44806283663,150,0.8226666666666667,3384547.5635120473,3348328.751383526,36218.812128521175,5860.590759233315,89,0.8056179775280901,2363383.6329014916,2245570.959756407,117812.67314508458,19708.857303603316,61,0.8475409836065575,0
resid_vol7_qmin0.65_k0.20,resid_vol7,0.65,0.2,5739936.3452173155,5520699.101445236,219237.24377207935,36149.10343442663,150,0.8033333333333333,3374577.086786068,3320372.867558266,54204.21922780185,8585.811998399982,89,0.79438202247191,2365359.258431248,2200326.23388697,165033.0245442775,27563.29143602665,61,0.8163934426229507,0
resid_vol7_qmin0.75_k0.10,resid_vol7,0.75,0.1,5747572.049632799,5572825.087555112,174746.9620776872,29085.873445583315,150,0.8243333333333331,3379483.5111083444,3348216.0378334485,31267.473274895594,4978.4184689999975,89,0.8151685393258425,2368088.5385244554,2224609.049721664,143479.4888027916,24107.454976583318,61,0.8377049180327869,0
resid_vol7_qmin0.70_k0.10,resid_vol7,0.7,0.1,5738978.584082667,5476046.125045855,262932.45903681114,43357.084358707936,150,0.7886666666666664,3366906.037337179,3300373.074235922,66532.96310125677,10637.217203724971,89,0.7831460674157303,2372072.5467454875,2175673.050809933,196399.49593555435,32719.867154982963,61,0.7967213114754095,0
em7_qmin0.65_k0.20,em7,0.65,0.2,5753421.917662038,5506476.081304865,246945.83635717275,40318.00857314629,150,0.7979999999999998,3379877.356654166,3314736.538736649,65140.81791751679,10118.09020093331,89,0.7904494382022471,2373544.5610078718,2191739.542568216,181805.01843965592,30199.918372212975,61,0.8090163934426227,0
em7_qmin0.60_k0.30,em7,0.6,0.3,5780411.316530865,5558537.278439183,221874.0380916827,36066.33985958995,150,0.8083333333333333,3406766.088603155,3340686.657135067,66079.43146808777,10357.661735866644,89,0.797752808988764,2373645.22792771,2217850.621304115,155794.60662359494,25708.6781237233,61,0.8237704918032788,0
fixed_q80,,0.8,0.0,5752019.107827847,5498680.987604624,253338.12022322242,41734.09940964128,150,0.7999999999999998,3377440.851891596,3320311.787083762,57129.06480783354,9042.487931658317,89,0.7999999999999998,2374578.255936251,2178369.200520862,196209.05541538887,32691.611477982966,61,0.7999999999999997,0
resid_vol7_qmin0.60_k0.20,resid_vol7,0.6,0.2,5733065.2237749975,5428903.661269657,304161.5625053392,49603.37787178125,150,0.7633333333333332,3358439.0324218525,3270825.357374478,87613.67504737439,13873.671316424954,89,0.755056179775281,2374626.1913531446,2158078.30389518,216547.88745796483,35729.70655535629,61,0.7754098360655735,0
em7_qmin0.75_k0.10,em7,0.75,0.1,5763663.190336507,5557257.266695591,206405.9236409157,34015.51381545998,150,0.8189999999999998,3388310.991987091,3343510.6710527125,44800.320934378615,6991.082726333328,89,0.8134831460674157,2375352.1983494153,2213746.595642878,161605.60270653706,27024.43108912665,61,0.8270491803278689,0
peak_ratio_qmin0.75_k0.10,peak_ratio,0.75,0.1,5754597.692815773,5503764.310187611,250833.3826281615,41361.917068774615,150,0.7983333333333331,3378603.303149032,3323896.265659411,54707.03748962112,8682.565264124984,89,0.796629213483146,2375994.389666741,2179868.0445282008,196126.34513854038,32679.351804649632,61,0.8008196721311472,0
em7_qmin0.70_k0.20,em7,0.7,0.2,5774576.215118259,5603207.645455462,171368.56966279758,28287.42661603663,150,0.8240000000000001,3397514.5328043704,3362370.0045390334,35144.52826533713,5670.825994833316,89,0.8129213483146068,2377061.6823138893,2240837.6409164285,136224.04139746045,22616.600621203317,61,0.8401639344262296,0
em7_qmin0.70_k0.10,em7,0.7,0.1,5753984.055953758,5476794.121938296,277189.93401546,45300.4403296246,150,0.7893333333333331,3376469.846348627,3304477.4936013604,71992.3527472666,11279.65798162497,89,0.7865168539325841,2377514.2096051294,2172316.6283369367,205197.58126819343,34020.78234799964,61,0.7934426229508194,0
fixed_q85,,0.85,0.0,5808774.605725985,5648296.615304731,160477.99042125422,26833.238433016653,150,0.8499999999999998,3429302.3793064766,3408907.433852965,20394.945453511667,3258.6588669666626,89,0.8499999999999998,2379472.226419509,2239389.1814517663,140083.04496774255,23574.579566049986,61,0.85,0
peak_ratio_qmin0.80_k0.10,peak_ratio,0.8,0.1,5785113.155256888,5623450.683230801,161662.47202608662,27069.54438641665,150,0.8366666666666664,3404076.877425991,3384518.3430123976,19558.534413593672,3167.8223785666623,89,0.8308988764044942,2381036.2778308964,2238932.3402184034,142103.93761249294,23901.72200784999,61,0.8450819672131148,0
resid_vol7_qmin0.70_k0.20,resid_vol7,0.7,0.2,5784597.321102545,5650094.897797008,134502.42330553706,22479.83814427998,150,0.844,3400021.643228444,3382609.8792974963,17411.76393094698,2876.690630399997,89,0.8308988764044946,2384575.677874102,2267485.0184995118,117090.65937459008,19603.147513879983,61,0.8631147540983606,0
peak_ratio_qmin0.65_k0.20,peak_ratio,0.65,0.2,5778862.009572452,5390871.486479066,387990.5230933856,63473.51323015454,150,0.7373333333333333,3393351.9847398577,3255678.037837132,137673.94690272535,21727.678894291592,89,0.7393258426966294,2385510.0248325947,2135193.4486419344,250316.5761906603,41745.83433586295,61,0.7344262295081967,0
peak_ratio_qmin0.70_k0.10,peak_ratio,0.7,0.1,5776507.867465155,5388517.34437177,387990.5230933856,63473.51323015454,150,0.7366666666666667,3390997.842632561,3253323.895729835,137673.94690272535,21727.678894291592,89,0.7382022471910112,2385510.0248325947,2135193.4486419344,250316.5761906603,41745.83433586295,61,0.7344262295081967,0
em7_qmin0.65_k0.30,em7,0.65,0.3,5808957.967014916,5619662.729962414,189295.23705250278,31081.53157778662,150,0.8276666666666668,3421375.0348467426,3365540.2135365354,55834.821310207444,8979.162832766637,89,0.8134831460674158,2387582.9321681745,2254122.5164258797,133460.41574229533,22102.368745019983,61,0.848360655737705,0
peak_ratio_qmin0.60_k0.30,peak_ratio,0.6,0.3,5779673.486784493,5392040.463377885,387633.023406607,63583.32708408787,150,0.7263333333333333,3391945.371222378,3255813.259183177,136132.11203920154,21597.70575055826,89,0.7213483146067416,2387728.115562114,2136227.2041947087,251500.91136740547,41985.62133352961,61,0.733606557377049,0
peak_ratio_qmin0.75_k0.20,peak_ratio,0.75,0.2,5792751.917938312,5598887.362976472,193864.55496184,32091.135234083307,150,0.8206666666666667,3402333.641452734,3354907.158766039,47426.48268669428,7447.445161766662,89,0.8095505617977528,2390418.2764855777,2243980.2042104322,146438.07227514574,24643.690072316647,61,0.8368852459016392,0
peak_ratio_qmin0.70_k0.20,peak_ratio,0.7,0.2,5764243.272682195,5515906.437901438,248336.83478075624,40946.278841549625,150,0.7903333333333332,3372710.359507597,3323353.4239435797,49356.93556401759,7764.690054133326,89,0.7848314606741572,2391532.9131745975,2192553.013957858,198979.89921673865,33181.5887874163,61,0.7983606557377049,0
em7_qmin0.60_k0.20,em7,0.6,0.2,5791027.72369035,5414280.142543439,376747.58114691055,61190.04231689457,150,0.754,3398520.57336006,3275927.042703857,122593.5306562023,19056.767454124943,89,0.7584269662921348,2392507.1503302893,2138353.0998395816,254154.0504907082,42133.27486276963,61,0.7475409836065572,0
em7_qmin0.80_k0.10,em7,0.8,0.1,5798384.238471032,5663436.785993633,134947.4524773983,22602.218767003316,150,0.8490000000000002,3404775.8483299944,3383797.458417079,20978.389912915387,3492.5652585666653,89,0.8325842696629216,2393608.3901410373,2279639.3275765544,113969.06256448293,19109.65350843665,61,0.8729508196721311,0
