date,official,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh
2025-02-01,True,6000.0,3494.370917666667,51360.200604000005,28419.429234771196,0.0,0.0,28419.429234771196,16863.708050329216
2025-02-02,True,3494.370917666667,2769.5173664074073,97718.76129,63769.068305987596,0.0,0.0,63769.068305987596,16393.091151275727
2025-02-03,True,2769.5173664074073,2065.7281059259276,94204.125999,60372.1102254877,0.0,0.0,60372.1102254877,10819.870328930047
2025-02-04,True,2065.7281059259276,2188.481915185186,92378.574333,59077.549125859696,0.0,0.0,59077.549125859696,6760.925526584373
2025-02-05,True,2188.481915185186,2140.371929074076,92858.33150999999,59209.7078561534,0.0,0.0,59209.7078561534,7879.9496878600885
2025-02-06,True,2140.371929074076,2518.035162555558,96471.60339100001,62318.30988303189,0.0,0.0,62318.30988303189,11717.362482839508
2025-02-07,True,2518.035162555558,3266.967239037035,53918.369382,29469.374948690398,0.0,0.0,29469.374948690398,18090.969794427998
2025-02-08,True,3266.967239037035,2737.3262904444427,46341.041067,24858.2860517888,0.0,0.0,24858.2860517888,12183.26440918107
2025-02-09,True,2737.3262904444427,2166.740366074075,92974.40600799999,59860.945313165605,0.0,0.0,59860.945313165605,10109.13114279836
2025-02-10,True,2166.740366074075,2253.540411185185,93109.410227,59690.4735246179,0.0,0.0,59690.4735246179,15081.423865720164
2025-02-11,True,2253.540411185185,1610.8600294444452,88815.99497599999,56341.094740735396,0.0,0.0,56341.094740735396,10307.421235967084
2025-02-12,True,1610.8600294444452,2363.337097333334,91162.439626,57942.703176345996,0.0,0.0,57942.703176345996,11232.720767489718
2025-02-13,True,2363.337097333334,2401.8871810370356,91775.961109,58959.3820528529,0.0,0.0,58959.3820528529,16921.154229382726
2025-02-14,True,2401.8871810370356,2976.158149481481,44982.702566,24211.7479361107,0.0,0.0,24211.7479361107,11389.125430403295
2025-02-15,True,2976.158149481481,2594.328867925926,43495.493749,23365.058801155297,0.0,0.0,23365.058801155297,11578.078687271605
2025-02-16,True,2594.328867925926,2225.455882000003,88610.002462,56446.6361367637,0.0,0.0,56446.6361367637,9741.919490617285
2025-02-17,True,2225.455882000003,2094.798018740741,88198.21601399999,55867.65146352,0.0,0.0,55867.65146352,13677.979681185192
2025-02-18,True,2094.798018740741,2008.0443884444435,85000.757582,53500.1387475565,0.0,0.0,53500.1387475565,9221.4477449177
2025-02-19,True,2008.0443884444435,1948.1999255925946,85689.777027,54019.8135346415,0.0,0.0,54019.8135346415,8938.210459020576
2025-02-20,True,1948.1999255925946,2670.8541554444446,88583.831611,56143.0794481518,0.0,0.0,56143.0794481518,13071.700675761327
2025-02-21,True,2670.8541554444446,3130.9985747407413,42596.001908000006,22909.7308340866,0.0,0.0,22909.7308340866,13404.147718329217
2025-02-22,True,3130.9985747407413,2871.9122672592594,39774.4094384,21441.408197039298,0.0,0.0,21441.408197039298,9228.141423708646
2025-02-23,True,2871.9122672592594,2208.294937666668,85399.18657800001,54203.7448774523,0.0,0.0,54203.7448774523,10844.37360520165
2025-02-24,True,2208.294937666668,2241.3065248518524,85024.139619,53515.112289205106,0.0,0.0,53515.112289205106,13360.413430847746
2025-02-25,True,2241.3065248518524,1629.4845798148178,82031.560609,51346.6643020738,6.440994333333379,29.303303719500207,51375.967605793296,13516.873740530862
2025-02-26,True,1629.4845798148178,2366.8230555555583,82710.6186319,51735.556177231716,0.0,0.0,51735.556177231716,9555.586101916473
2025-02-27,True,2366.8230555555583,2350.2755006666703,83208.60297400001,52436.9791944697,0.0,0.0,52436.9791944697,12408.001977827174
2025-02-28,True,2350.2755006666703,2923.643139407409,38811.008913,21085.2576847675,0.0,0.0,21085.2576847675,11878.018184152268
2025-03-01,True,2923.643139407409,2710.603930629628,36893.045613,19974.9698615592,0.0,0.0,19974.9698615592,10642.417293123457
2025-03-02,True,2710.603930629628,1804.1961861481495,79925.19529599999,50382.053378031196,0.0,0.0,50382.053378031196,4550.187063226335
2025-03-03,True,1804.1961861481495,1972.2203258888915,80123.5060126,50021.92729335938,0.0,0.0,50021.92729335938,3635.218193000004
2025-03-04,True,1972.2203258888915,1772.801352407407,78596.47553299999,49015.9935463793,0.6247333333334382,2.9262509333338245,49018.919797312636,5638.641050325114
2025-03-05,True,1772.801352407407,2073.1952978888885,81007.51913599999,50309.4066805028,0.0,0.0,50309.4066805028,10885.31212251028
2025-03-06,True,2073.1952978888885,2297.6528160000025,82561.42909399999,51915.1868498759,0.0,0.0,51915.1868498759,12818.887266901242
2025-03-07,True,2297.6528160000025,2987.3561214814804,39345.631443,21163.6962653269,0.0,0.0,21163.6962653269,14893.908251230456
2025-03-08,True,2987.3561214814804,2848.670851962965,33823.51922677,18577.201384350512,0.0,0.0,18577.201384350512,12251.45319154366
2025-03-09,True,2848.670851962965,2194.9530001851863,80332.855683,50476.134639584896,0.0,0.0,50476.134639584896,14257.122117510291
2025-03-10,True,2194.9530001851863,2150.5259645555584,80102.9329142,50055.42853324008,0.0,0.0,50055.42853324008,8433.151148516876
2025-03-11,True,2150.5259645555584,1927.135618407412,75319.03117979999,46247.9299228622,0.0,0.0,46247.9299228622,7937.743296376963
2025-03-12,True,1927.135618407412,2062.076777666668,77122.4816478,47592.52682667519,0.0,0.0,47592.52682667519,10961.362954894248
2025-03-13,True,2062.076777666668,2158.2443442592607,79122.108247,49244.227996917194,0.0,0.0,49244.227996917194,7521.225198292183
2025-03-14,True,2158.2443442592607,3224.7808967407414,35367.206194000006,19321.8191364538,0.0,0.0,19321.8191364538,15456.478552148148
2025-03-15,True,3224.7808967407414,2183.736947703705,32826.8135168,17844.20477890034,0.0,0.0,17844.20477890034,10431.201337376137
2025-03-16,True,2183.736947703705,2450.4944462222247,77851.381987,48263.981254305196,1.6400000000001,7.461180000000455,48271.442434305194,10777.925530251036
2025-03-17,True,2450.4944462222247,2348.831086000003,77903.1326102,48163.55416202005,0.0,0.0,48163.55416202005,16903.24473023869
2025-03-18,True,2348.831086000003,1789.6182156666669,72572.25761100001,44424.074752522,0.0,0.0,44424.074752522,8203.88155750207
2025-03-19,True,1789.6182156666669,2478.896380148151,75847.35147699999,46613.628636676396,0.0,0.0,46613.628636676396,11854.723968687249
2025-03-20,True,2478.896380148151,2222.7914852592603,75605.9620639,46750.50839311972,0.0,0.0,46750.50839311972,9895.291970423868
2025-03-21,True,2222.7914852592603,2631.325758740742,33561.817736,18191.394371574897,0.0,0.0,18191.394371574897,18406.200654641973
2025-03-22,True,2631.325758740742,3004.8217237407393,32752.801005,17710.0829279935,0.0,0.0,17710.0829279935,14054.495612818933
2025-03-23,True,3004.8217237407393,2002.4716527037053,72748.1086176,44883.780120103875,0.0,0.0,44883.780120103875,11423.075524279839
2025-03-24,True,2002.4716527037053,2396.022022074073,73297.9852051,45072.502423141384,0.0,0.0,45072.502423141384,11296.887041481486
