slot,start_min,price,paid_curtail_kwh,emergency_kwh,purchase_kwh
0,0,0.4276,6312.934466666689,3.5441666666665697,422756.45918999985
1,10,0.4248,7531.189883333355,0.0,458634.59583000006
2,20,0.4245,7370.882083333362,0.0,469870.2270799998
3,30,0.4269,7421.058933333359,0.0,442896.92646000005
4,40,0.4272,5795.002700000029,0.0,427340.7853100003
5,50,0.4271,6821.974966666692,0.0,435404.75104
6,60,0.4285,6997.051200000023,0.0,414706.1992700002
7,70,0.4311,0.0,0.0,200431.75567000016
8,80,0.4302,2126.4798000000083,0.0,352263.93248999986
9,90,0.4279,6826.223500000024,0.0,418196.42996999976
10,100,0.4312,0.0,0.0,199649.97392000005
11,110,0.4333,0.0,0.0,201307.80282
12,120,0.4311,0.0,0.0,229097.50784000006
13,130,0.4293,6036.528750000025,0.0,412601.74591999996
14,140,0.4324,0.0,0.0,202393.31010000003
15,150,0.4367,0.0,0.0,201561.18146000005
16,160,0.4348,0.0,0.0,201619.82816999985
17,170,0.4335,17.049129999998485,0.0,202314.80834999992
18,180,0.4357,81.64501333333334,0.0,203006.74486000004
19,190,0.4374,99.051461111116,0.0,201308.06288999997
20,200,0.4371,125.15548999999999,0.0,202849.54357000018
21,210,0.4356,120.93084333333343,0.0,203239.14459999994
22,220,0.4353,84.05040666666673,0.0,202932.59102999986
23,230,0.436,73.4513433333334,0.0,202277.32490000004
24,240,0.4378,102.04925666666685,0.0,203695.02213000008
25,250,0.4401,211.21107798354336,0.0,202757.49212999985
26,260,0.4389,197.9979633333333,0.0,203942.65901999996
27,270,0.4364,156.89859333333345,0.0,204832.5211800001
28,280,0.4393,147.74837000000014,0.0,204655.53520999997
29,290,0.4422,166.13332666666668,0.0,204578.81423
30,300,0.4395,146.60135333333335,0.0,203936.2316700001
31,310,0.4333,134.8539433333333,0.0,202892.50485000006
32,320,0.4439,161.15592666666657,0.0,201562.27311999997
33,330,0.4301,7575.47431761321,0.0,403801.0607599997
34,340,0.3713,123502.59330686474,0.0,463891.25142000004
35,350,0.5708,5509.61804238684,0.0,160360.1821960001
36,360,0.9099,864.3236401234574,140.90103900000042,31259.731649831905
37,370,0.9368,0.0,501.1020926896654,8452.738029807
38,380,0.8758,0.0,253.56001666666657,51096.321414399994
39,390,0.8759,0.0,241.46097433333347,45047.52826499999
40,400,0.8601,0.0,158.01683333333324,58361.703356
41,410,0.8442,0.0,162.22706666666664,77780.63655490003
42,420,0.8334,0.0,165.83791666666656,86516.58733070003
43,430,0.8092,0.0,151.6497666666666,90054.46305110003
44,440,0.7972,0.0,63.94173333333333,91673.54687300001
45,450,0.7644,0.0,0.0,89002.406576
46,460,0.6899,14649.615618765472,0.0,149852.00111999997
47,470,0.86,2170.876663991772,0.0,51934.56382
48,480,1.1617,0.0,102.84404366666672,4074.1494181999997
49,490,1.1683,0.0,116.26388300000008,2776.8742789
50,500,1.0956,0.0,45.380186566666794,962.0727995
51,510,1.0849,0.0,0.0,344.28167933000003
52,520,1.061,0.0,0.0,8.0230159
53,530,1.043,0.0,0.0,0.0
54,540,1.036,0.0,481.7418515999974,0.0
55,550,1.0147,0.0,894.6248166666655,0.0
56,560,0.9922,0.0,798.0981850333283,0.0
57,570,0.97,0.0,1145.33524,2005.056554
58,580,0.9422,0.0,1526.1358579333269,13387.478224999999
59,590,0.9569,0.0,1627.634806866664,10737.627840000001
60,600,0.9977,0.0,1614.2947724999988,0.0
61,610,0.9919,0.0,1540.8655056666653,0.0
62,620,0.9588,0.0,1188.9970833333325,6890.451174
63,630,0.9549,0.0,1036.1377833333338,8723.921649999998
64,640,0.9839,0.0,938.1521999999998,0.0
65,650,0.799,0.0,303.9813766666662,12378.43710366
66,660,0.5025,15364.028753333336,188.52958333333333,136034.058015
67,670,0.4662,23988.800860000025,0.0,179159.72315
68,680,0.5007,18535.886456666678,0.0,145461.90607300005
69,690,0.4827,21291.792819703718,0.0,155610.965416
70,700,0.4785,24802.664795637873,0.0,162923.98172499996
71,710,0.4662,26710.090451366264,0.0,165587.45895700002
72,720,0.4432,31876.943533086447,0.0,166332.86200000002
73,730,0.4411,40438.11170867409,0.0,166511.29136999993
