date,q_load,q_pv,q_source,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh
2025-02-01,0.8,0.2,fixed,6000.0,3390.7063923333335,48039.005625,26439.700121686103,0.0,0.0,26439.700121686103,13542.650142666667,0,0.0
2025-02-02,0.8,0.2,fixed,3390.7063923333335,2869.5480174074087,95701.440729,62229.3925204239,0.0,0.0,62229.3925204239,14111.828290534986,0,0.0
2025-02-03,0.8,0.2,fixed,2869.5480174074087,2450.0537430370387,93525.534102,60162.9100643866,0.0,0.0,60162.9100643866,9851.499805061734,0,0.0
2025-02-04,0.8,0.2,fixed,2450.0537430370387,2453.197799925928,92534.544497,59383.1913699141,0.0,0.0,59383.1913699141,7087.169567325113,0,0.0
2025-02-05,0.8,0.2,fixed,2453.197799925928,2450.3255600740767,92678.35238499999,59392.5663813939,0.0,0.0,59392.5663813939,7738.046989876555,0,0.0
2025-02-06,0.8,0.2,fixed,2450.3255600740767,2582.0539177037053,94711.608461,61111.3447967183,0.0,0.0,61111.3447967183,10191.871494074083,0,0.0
2025-02-07,0.8,0.2,fixed,2582.0539177037053,2895.4436887407396,50074.728149,26932.702753321602,0.0,0.0,26932.702753321602,14556.544146666678,0,0.0
2025-02-08,0.8,0.2,fixed,2895.4436887407396,2777.346389333333,45557.447775,24331.8253455837,0.0,0.0,24331.8253455837,10944.163444958847,0,0.0
2025-02-09,0.8,0.2,fixed,2777.346389333333,2320.66604888889,91548.231586,58834.6106634648,0.0,0.0,58834.6106634648,8516.496263045281,0,0.0
2025-02-10,0.8,0.2,fixed,2320.66604888889,2280.7707445185188,91847.1193238,58812.96004752314,0.0,0.0,58812.96004752314,13950.743493950626,0,0.0
2025-02-11,0.8,0.2,fixed,2280.7707445185188,1891.260633185185,89241.50806640001,56729.80507899652,0.0,0.0,56729.80507899652,10509.088260024695,0,0.0
2025-02-12,0.8,0.2,fixed,1891.260633185185,2328.5262654074077,90001.294465,57200.2567182841,0.0,0.0,57200.2567182841,10406.530038263376,0,0.0
2025-02-13,0.8,0.2,fixed,2328.5262654074077,2347.3085904814816,89870.818543,57381.2887149279,0.0,0.0,57381.2887149279,15007.924829917707,0,0.0
2025-02-14,0.8,0.2,fixed,2347.3085904814816,2641.740077592592,42343.1411697,22506.6161648234,0.0,0.0,22506.6161648234,8879.78455566708,0,0.0
2025-02-15,0.8,0.2,fixed,2641.740077592592,2368.7163802592595,40850.14245300001,21764.8110693719,0.0,0.0,21764.8110693719,8712.370935839503,0,0.0
2025-02-16,0.8,0.2,fixed,2368.7163802592595,2116.625997777779,86369.643217,54640.741973345095,0.0,0.0,54640.741973345095,7222.834975329222,0,0.0
2025-02-17,0.8,0.2,fixed,2116.625997777779,1993.9224565185207,85833.033807,54069.5941507103,0.0,0.0,54069.5941507103,11179.410916283958,0,0.0
2025-02-18,0.8,0.2,fixed,1993.9224565185207,2049.8699325555563,83852.84489899999,52612.708929074994,0.0,0.0,52612.708929074994,7913.011068786016,0,0.0
