date,q_load,q_pv,q_source,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh
2025-02-01,0.8,0.2,fixed,6000.0,3640.137048444445,49793.1931,27658.640582979,0.0,0.0,27658.640582979,15101.919541193416,0,0.0
2025-02-02,0.8,0.2,fixed,3640.137048444445,3139.9514567407423,97677.02346299999,63861.372670017,0.0,0.0,63861.372670017,16165.005826995884,0,0.0
2025-02-03,0.8,0.2,fixed,3139.9514567407423,2824.4677816666685,96079.543591,62340.0020444899,0.0,0.0,62340.0020444899,12429.029666049391,0,0.0
2025-02-04,0.8,0.2,fixed,2824.4677816666685,2776.525075925927,95371.77151,61747.859368617,0.0,0.0,61747.859368617,10140.246484074083,0,0.0
2025-02-05,0.8,0.2,fixed,2776.525075925927,2786.772572074076,95378.2516284,61718.41551568617,0.0,0.0,61718.41551568617,10589.646529506175,0,0.0
2025-02-06,0.8,0.2,fixed,2786.772572074076,2813.9807213703734,96786.55048579999,62881.96481384588,0.0,0.0,62881.96481384588,12484.59435366256,0,0.0
2025-02-07,0.8,0.2,fixed,2813.9807213703734,3008.7791497407397,51238.345842,27760.921640897002,0.0,0.0,27760.921640897002,15928.221892370379,0,0.0
2025-02-08,0.8,0.2,fixed,3008.7791497407397,3059.9463532222217,47933.404624999996,25798.692842108,0.0,0.0,25798.692842108,13212.72966915638,0,0.0
2025-02-09,0.8,0.2,fixed,3059.9463532222217,2597.2341698888913,93571.245605,60551.445329589005,0.0,0.0,60551.445329589005,10641.800431069967,0,0.0
2025-02-10,0.8,0.2,fixed,2597.2341698888913,2509.3292507407427,93932.039983,60573.5206230529,0.0,0.0,60573.5206230529,16155.453522098767,0,0.0
2025-02-11,0.8,0.2,fixed,2509.3292507407427,2224.5708032222215,91912.974793,58944.4813158671,0.0,0.0,58944.4813158671,13152.932957119345,0,0.0
2025-02-12,0.8,0.2,fixed,2224.5708032222215,2533.282039407407,91876.821146,58809.164181139095,0.0,0.0,58809.164181139095,12540.368727674893,0,0.0
