date,q_load,q_pv,q_source,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh
2025-02-01,0.8,0.2,fixed,6000.0,3198.4788123703706,46705.046065,25466.267509646,0.0,0.0,25466.267509646,12339.132324592596,0,0.0
2025-02-02,0.8,0.2,fixed,3198.4788123703706,2624.8901948518524,94079.040523,60856.0040515839,0.0,0.0,60856.0040515839,12486.949436337452,0,0.0
2025-02-03,0.8,0.2,fixed,2624.8901948518524,2087.60818025926,91355.88806,58270.3810911498,0.0,0.0,58270.3810911498,7667.013614938285,0,0.0
2025-02-04,0.8,0.2,fixed,2087.60818025926,2134.6026302962973,90088.527279,57322.2232043111,0.0,0.0,57322.2232043111,4399.529433004133,0,0.0
2025-02-05,0.8,0.2,fixed,2134.6026302962973,2119.2561880740755,90369.674023,57388.016824591,0.0,0.0,57388.016824591,5224.778393786012,0,0.0
2025-02-06,0.8,0.2,fixed,2119.2561880740755,2342.9350873333346,93038.530942,59668.167302598,0.0,0.0,59668.167302598,8309.62181407408,0,0.0
2025-02-07,0.8,0.2,fixed,2342.9350873333346,2795.6147611851834,49322.500824,26407.5420084006,0.0,0.0,26407.5420084006,13619.386929720175,0,0.0
2025-02-08,0.8,0.2,fixed,2795.6147611851834,2508.9288238888867,43568.310486,23182.4318685274,0.0,0.0,23182.4318685274,9113.125559045264,0,0.0
2025-02-09,0.8,0.2,fixed,2508.9288238888867,2045.3106921111123,89982.764337,57496.3185754629,0.0,0.0,57496.3185754629,6859.267712551453,0,0.0
2025-02-10,0.8,0.2,fixed,2045.3106921111123,2055.6259525185187,90253.03200400001,57458.4732582532,0.0,0.0,57458.4732582532,12254.93646060906,0,0.0
2025-02-11,0.8,0.2,fixed,2055.6259525185187,1567.1680270000006,87010.823074,54919.9841549299,0.0,0.0,54919.9841549299,8219.419176296302,0,0.0
2025-02-12,0.8,0.2,fixed,1567.1680270000006,2149.8021311851853,88453.192133,55912.958701971205,0.0,0.0,55912.958701971205,8583.342368884778,0,0.0
2025-02-13,0.8,0.2,fixed,2149.8021311851853,2175.2757351481496,88657.38800919999,56432.77598525192,0.0,0.0,56432.77598525192,13703.291346055974,0,0.0
2025-02-14,0.8,0.2,fixed,2175.2757351481496,2546.3706515925924,41441.419462,22050.747799622102,0.0,0.0,22050.747799622102,7886.359491835396,0,0.0
2025-02-15,0.8,0.2,fixed,2546.3706515925924,2230.0590125925924,40018.015747,21326.7256790167,0.0,0.0,21326.7256790167,7912.86172095062,0,0.0
2025-02-16,0.8,0.2,fixed,2230.0590125925924,1961.8790894444471,85424.8485502,53922.020365665434,0.0,0.0,53922.020365665434,6227.767046609055,0,0.0
2025-02-17,0.8,0.2,fixed,1961.8790894444471,1841.5027214074091,84890.652795,53369.867914551,0.0,0.0,53369.867914551,10217.046247049384,0,0.0
2025-02-18,0.8,0.2,fixed,1841.5027214074091,1844.986795148149,82432.9055,51584.5085217856,13.852330666666717,63.02117836800023,51647.5297001536,6528.025047189305,0,0.0
2025-02-19,0.8,0.2,fixed,1844.986795148149,1668.6531932592611,82865.581886,51894.8393750335,0.0,0.0,51894.8393750335,6088.569552757201,0,0.0
2025-02-20,0.8,0.2,fixed,1668.6531932592611,2314.223141851852,84940.64116999999,53376.85801983169,0.0,0.0,53376.85801983169,9377.082825872425,0,0.0
2025-02-21,0.8,0.2,fixed,2314.223141851852,2592.621253925926,38537.508635,20595.580493080197,0.0,0.0,20595.580493080197,9492.212823559661,0,0.0
2025-02-22,0.8,0.2,fixed,2592.621253925926,2413.123612888888,36789.258546,19669.9951642696,0.0,0.0,19669.9951642696,6092.70454093827,0,0.0
2025-02-23,0.8,0.2,fixed,2413.123612888888,1870.780641185188,82010.299345,51582.960238307496,0.0,0.0,51582.960238307496,7234.230546193417,0,0.0
2025-02-24,0.8,0.2,fixed,1870.780641185188,1930.2877047407417,81707.101742,50995.2982293381,0.0,0.0,50995.2982293381,9870.23186366256,0,0.0
2025-02-25,0.8,0.2,fixed,1930.2877047407417,1454.5660064444455,79479.27419709999,49354.07804098136,20.941830333333314,95.27485710149992,49449.352898082856,10620.343581688483,0,0.0
2025-02-26,0.8,0.2,fixed,1454.5660064444455,2063.1216963333354,79880.15943100001,49552.2478927122,0.0,0.0,49552.2478927122,6630.440598629634,0,0.0
2025-02-27,0.8,0.2,fixed,2063.1216963333354,2061.9923774444474,79995.4182,49874.4047500326,0.0,0.0,49874.4047500326,8902.12471812758,0,0.0
2025-02-28,0.8,0.2,fixed,2061.9923774444474,2385.8065348888904,36964.3462514,19711.100758068522,0.0,0.0,19711.100758068522,10239.68838119424,0,0.0
2025-03-01,0.8,0.2,fixed,2385.8065348888904,2255.0058504074063,35618.2890958,18944.64432601094,0.0,0.0,18944.64432601094,9217.66688868066,0,0.0
2025-03-02,0.8,0.2,fixed,2255.0058504074063,1390.913749333334,77197.283729,48068.5204382846,569.7964714333284,3859.4744406558666,51927.994878940466,2138.927946502057,0,0.0
2025-03-03,0.8,0.2,fixed,1390.913749333334,1429.7223278148153,77700.9776135,48018.09666404165,231.94095513999363,1542.1768586349958,49560.273522676645,1378.2295734979498,0,0.0
2025-03-04,0.8,0.2,fixed,1429.7223278148153,1535.1153231851858,76946.39788909,47518.325818739315,0.0,0.0,47518.325818739315,3497.699515452671,0,0.0
2025-03-05,0.8,0.2,fixed,1535.1153231851858,1799.6246496296294,78684.9385349,48557.80819436711,0.0,0.0,48557.80819436711,8474.0255479,0,0.0
2025-03-06,0.8,0.2,fixed,1799.6246496296294,1969.9274675555575,79747.2222265,49696.44052723351,0.0,0.0,49696.44052723351,9909.447447759265,0,0.0
2025-03-07,0.8,0.2,fixed,1969.9274675555575,2438.5905439259245,35440.0819388,18924.81943415554,0.0,0.0,18924.81943415554,11160.052620981076,0,0.0
2025-03-08,0.8,0.2,fixed,2438.5905439259245,2361.986950592595,33020.154759,17745.8206519874,0.0,0.0,17745.8206519874,11315.065259855965,0,0.0
2025-03-09,0.8,0.2,fixed,2361.986950592595,1835.7616904074075,77713.86219100001,48345.1816326147,0.0,0.0,48345.1816326147,11323.101765111114,0,0.0
2025-03-10,0.8,0.2,fixed,1835.7616904074075,1790.7017860740757,77211.51860099999,47788.98796236425,0.0,0.0,47788.98796236425,5366.35476995473,0,0.0
2025-03-11,0.8,0.2,fixed,1790.7017860740757,1507.7569073333336,73773.09662699999,45000.9811553736,76.58576496666528,481.3595120423078,45482.340667415905,6322.0271930864255,0,0.0
2025-03-12,0.8,0.2,fixed,1507.7569073333336,1745.4529672222218,75024.95971139999,45930.61603261804,0.0,0.0,45930.61603261804,8624.731141021406,0,0.0
2025-03-13,0.8,0.2,fixed,1745.4529672222218,1767.2395571481504,76137.846703,46883.6627340674,0.0,0.0,46883.6627340674,4361.229266296297,0,0.0
2025-03-14,0.8,0.2,fixed,1767.2395571481504,2605.715298555555,33990.285888,18130.7888002597,0.0,0.0,18130.7888002597,14258.667102691361,0,0.0
2025-03-15,0.8,0.2,fixed,2605.715298555555,1718.704269666667,31962.824988999997,16994.702672569998,0.0,0.0,16994.702672569998,9324.902641090539,0,0.0
2025-03-16,0.8,0.2,fixed,1718.704269666667,2062.526956222225,74745.39516419999,45798.609867331805,1.6400000000001,7.461180000000455,45806.0710473318,7313.794253212348,0,0.0
2025-03-17,0.8,0.2,fixed,2062.526956222225,2002.8506093333356,74527.50398062001,45598.694343248644,0.0,0.0,45598.694343248644,13294.8384167568,0,0.0
2025-03-18,0.8,0.2,fixed,2002.8506093333356,1575.5255255555571,70304.79612,42688.325257769,0.0,0.0,42688.325257769,5627.679263786015,0,0.0
2025-03-19,0.8,0.2,fixed,1575.5255255555571,2115.3162047037067,72612.76342,44249.423407237,0.0,0.0,44249.423407237,8665.316139465023,0,0.0
2025-03-20,0.8,0.2,fixed,2115.3162047037067,1846.7027586666663,72249.9084326,44259.26668160008,0.0,0.0,44259.26668160008,6418.958993497941,0,0.0
2025-03-21,0.8,0.2,fixed,1846.7027586666663,2054.4164279629636,32282.342344999997,17080.5080048636,0.0,0.0,17080.5080048636,17267.482151687247,0,0.0
2025-03-22,0.8,0.2,fixed,2054.4164279629636,2426.504451999999,31682.079358999996,16741.6971693319,0.0,0.0,16741.6971693319,12910.050353074079,0,0.0
2025-03-23,0.8,0.2,fixed,2426.504451999999,1649.2498010000004,69434.863352,42415.8526809408,0.0,0.0,42415.8526809408,7723.369054032926,0,0.0
2025-03-24,0.8,0.2,fixed,1649.2498010000004,2011.4461757407435,69698.9845754,42447.403260023464,0.0,0.0,42447.403260023464,7582.4762072839585,0,0.0
2025-03-25,0.8,0.2,fixed,2011.4461757407435,1257.001428,66505.5538546,40281.36584268972,3.6344302333319085,7.668647792330327,40289.034490482045,2355.840685377782,0,0.0
