date,official,terminal_mode,soc_mu,dispatch,mpc_stride,policy,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,xgb_used,n_simultaneous_plan,max_unserved_kwh
2025-01-01,False,none,0.0,mpc,1,V2_mu0_q82,6000.0,1200.0,1200.0,54149.36557,32909.86521609,34900.52516766666,126,166415.24691427528,199325.11213036528,0.0,679.3241201388888,799.813790470037,842.9938874999999,1217.1863168434993,False,0,0.0
2025-01-02,False,none,0.0,mpc,1,V2_mu0_q82,1200.0,2113.9052227037064,1200.0,129578.2261058,87408.57145691745,0.0,0,0.0,87408.57145691745,32401.461049629637,680.0985113037109,812.1417564709427,656.8274868055555,1091.165788582533,True,0,0.0
2025-01-03,False,none,0.0,mpc,1,V2_mu0_q82,2113.9052227037064,9159.669865592592,1200.0,123164.235677,82750.0100060732,0.0,0,0.0,82750.0100060732,68569.41598671195,2452.0224064930553,2691.577949414873,616.3002741666666,1031.882018252115,True,0,0.0
2025-01-04,False,none,0.0,mpc,1,V2_mu0_q82,9159.669865592592,1271.812006148148,1200.0,58528.303202,33948.7907587341,16.401673333331438,1,80.95045873665731,34029.74121747076,19431.629774592602,292.13966850423174,377.59098941147664,507.75784893518517,853.4693841196187,True,0,0.0
2025-01-05,False,none,0.0,mpc,1,V2_mu0_q82,1271.812006148148,1208.382576,1200.0,65618.495747,37027.586200986,28695.5436347,105,138189.29730328533,175216.88350427133,0.0,1579.0558389463974,1808.3700696080186,345.7831925694444,561.2443899836187,True,0,0.0
2025-01-06,False,none,0.0,mpc,1,V2_mu0_q82,1208.382576,3039.589553333334,1200.0,120542.404514,80797.7477133408,0.0,0,0.0,80797.7477133408,24300.56063798355,844.0507457259115,973.7723507108955,194.22857462962955,321.2956958599051,True,0,0.0
2025-01-07,False,none,0.0,mpc,1,V2_mu0_q82,3039.589553333334,1283.1047304338833,1200.0,88112.4940251,54929.97553462485,8419.004415925381,46,43665.68815648787,98595.66369111271,1684.162760248839,452.83056225043407,579.5192239032208,113.43772684027778,222.97461670456556,True,0,0.0
2025-01-08,False,none,0.0,mpc,1,V2_mu0_q82,1283.1047304338833,2942.64484725926,1200.0,121007.664972,81316.4947885563,0.0,0,0.0,81316.4947885563,26002.801524926537,948.6674992919925,1147.0029001312948,161.74727872751322,346.37333456077437,True,0,0.0
2025-01-09,False,none,0.0,mpc,1,V2_mu0_q82,2942.64484725926,2630.9486578518527,1200.0,117015.444621,78884.59742290492,0.0,0,0.0,78884.59742290492,22541.743131275725,879.0421070583769,1046.5152808679118,100.89495798578038,220.3874825237436,True,0,0.0
2025-01-10,False,none,0.0,mpc,1,V2_mu0_q82,2630.9486578518527,8071.457015666665,1200.0,103813.381302,68248.0945775442,0.0,0,0.0,68248.0945775442,50641.7809410288,2211.3478704269746,2466.826966320209,106.97191586177252,191.2710075852584,True,0,0.0
2025-01-11,False,none,0.0,mpc,1,V2_mu0_q82,8071.457015666665,2508.9191186666685,1200.0,61246.566844,36438.461175818404,0.0,0,0.0,36438.461175818404,19763.02775671605,711.0479715966799,870.5954928030909,119.37953725496034,231.64025318844458,True,0,0.0
2025-01-12,False,none,0.0,mpc,1,V2_mu0_q82,2508.9191186666685,2999.692877555558,1200.0,110970.282863,73485.339862996,0.0,0,0.0,73485.339862996,15615.53378160495,626.2312609564887,691.6073501816351,80.96272746031747,156.72617469888243,True,0,0.0
2025-01-13,False,none,0.0,mpc,1,V2_mu0_q82,2999.692877555558,2065.1627370370384,1200.0,108952.094486,72389.0754310711,0.0,0,0.0,72389.0754310711,17863.452117407414,554.5363604437937,663.8713731638468,197.0879822873677,353.51164255720863,True,0,0.0
2025-01-14,False,none,0.0,mpc,1,V2_mu0_q82,2065.1627370370384,1806.8042620000026,1200.0,108100.82120199999,71263.603408678,0.0,0,0.0,71263.603408678,15002.784463827173,491.5191159884987,611.856937094138,140.4203542572751,267.38501046929593,True,0,0.0
2025-01-15,False,none,0.0,mpc,1,V2_mu0_q82,1806.8042620000026,2071.1480811111123,1200.0,106139.4143347,69554.38476325621,0.0,0,0.0,69554.38476325621,11546.108046337458,431.9265122200522,507.95074955409075,89.7169174176586,180.73064081435456,True,0,0.0
2025-01-16,False,none,0.0,mpc,1,V2_mu0_q82,2071.1480811111123,2291.8626732962957,1200.0,104812.09159599998,68641.8635297952,3.5932988630201863,2,13.277554421726038,68655.14108421693,11298.494339501685,390.948500439996,462.8989433119758,129.2433091405423,284.3669397506657,True,0,0.0
2025-01-17,False,none,0.0,mpc,1,V2_mu0_q82,2291.8626732962957,2625.0367679629626,1200.0,57195.10475,31353.543518612,2.433608869978343e-12,0,1.1408758382458472e-11,31353.543518612012,10854.9411617284,371.4626542616102,427.6124241252998,115.3992896825397,228.02086112977733,True,0,0.0
2025-01-18,False,none,0.0,mpc,1,V2_mu0_q82,2625.0367679629626,2433.75099625926,1200.0,54710.35949,29626.875566420997,0.9795994051358093,1,3.8317030731887183,29630.707269494185,8299.149296961068,297.13036814290376,345.2258744268548,97.56791220568783,184.92008245138214,True,0,0.0
2025-01-19,False,none,0.0,mpc,1,V2_mu0_q82,2433.75099625926,2290.7863007037017,1200.0,100763.317223,65315.20816766239,0.0,0,0.0,65315.20816766239,7833.054076831282,301.02864058593764,344.77911684464607,87.02181156018513,182.47397295311677,True,0,0.0
2025-01-20,False,none,0.0,mpc,1,V2_mu0_q82,2290.7863007037017,2460.8953471672476,1200.0,100519.53854499999,65180.19313748059,11.518940401952023,3,67.66920827988244,65247.86234576048,7850.855337594361,278.14977791449644,315.36883458977417,110.25759147156083,208.98850517478314,True,0,0.0
2025-01-21,False,none,0.0,mpc,1,V2_mu0_q82,2460.8953471672476,2432.0217577037074,1200.0,99503.968735,64540.70156982909,2.235632151173809,1,13.763669338701556,64554.465239167796,12001.282260742837,280.39925869683174,325.05992468897443,251.5434443938492,477.29444707230925,True,0,0.0
2025-01-22,False,none,0.0,mpc,1,V2_mu0_q82,2432.0217577037074,1587.9200612517375,1200.0,97853.17267,63265.807822627394,29.182888893228892,2,184.86162027209474,63450.66944289949,5362.44672090536,215.09977067057287,256.8567470107841,64.31971698578037,113.08489844712629,True,0,0.0
2025-01-23,False,none,0.0,mpc,1,V2_mu0_q82,1587.9200612517375,2305.0779766296314,1200.0,98898.25526500001,63863.8772478779,7.298880527045776,1,33.808414601276034,63897.685662479176,4039.364681959194,227.31300960991757,263.0746746140383,53.220159515211655,106.05595902697496,True,0,0.0
2025-01-24,False,none,0.0,mpc,1,V2_mu0_q82,2305.0779766296314,2566.882588185184,1200.0,52232.937117999994,27984.254148774602,57.16878976562041,4,124.21866583323221,28108.472814607834,8640.430021768261,253.98884092285164,293.10185323666235,156.6669734265873,325.916657177893,True,0,0.0
2025-01-25,False,none,0.0,mpc,1,V2_mu0_q82,2566.882588185184,2177.4167012963,1200.0,51169.05381,27211.878675043998,7.146679999999947,1,15.408242079999885,27227.286917123998,9515.236301440327,221.47940404025624,259.33550986512773,209.38774874570103,404.30682571409153,True,0,0.0
2025-01-26,False,none,0.0,mpc,1,V2_mu0_q82,2177.4167012963,1919.414144581187,1200.0,96185.01016,61846.054793261705,51.711524790122084,5,235.3045802993912,62081.3593735611,4394.811114444927,180.10098002387167,219.78728678266998,99.73921891534388,201.0852797841496,True,0,0.0
2025-01-27,False,none,0.0,mpc,1,V2_mu0_q82,1919.414144581187,2034.985925444447,1200.0,97334.68254000001,62556.0827732135,9.331684749030682,1,50.120478787043794,62606.203252000545,8889.4903016528,242.71006575520838,286.0908121388781,149.24458792658731,275.77957584774515,True,0,0.0
