date,alpha,rho,terminal,soc0_actual,soc24_actual,soc24_plan,soc_min_actual,soc_max_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,emergency_slots,n_simultaneous_plan,max_unserved_kwh,dispatch
2025-02-01,0.8,0.0,2400.0,6000.0,4128.050939592593,2400.0,2268.1977925925926,10800.0,46742.238134,25180.068866809597,0.0,0.0,25180.068866809597,11269.754566345679,0,0,0.0,greedy
2025-02-02,0.8,0.0,2400.0,4128.050939592593,3509.3917501111096,2400.0,1648.1881111111088,10800.0,92240.66120999999,59330.334692452,0.0,0.0,59330.334692452,10593.136745267491,0,0,0.0,greedy
2025-02-03,0.8,0.0,2400.0,3509.3917501111096,2739.596479222223,2400.0,1200.0,10800.0,88647.9989493,55918.83773117323,4.677905566665004,32.63306923305507,55951.470800406285,4971.775853004124,1,0,0.0,greedy
2025-02-04,0.8,0.0,2400.0,2739.596479222223,2583.395899444446,2400.0,1200.0,10800.0,86935.45033709999,54742.08233552557,107.30644776665861,748.5697796202104,55490.65211514578,1322.4693327572008,1,0,0.0,greedy
2025-02-05,0.8,0.0,2400.0,2583.395899444446,2881.5487717777814,2400.0,1200.0,10800.0,87834.665276,55117.3810611588,91.4300183333327,457.19462873916353,55574.57568989796,2196.0299247325115,3,0,0.0,greedy
2025-02-06,0.8,0.0,2400.0,2881.5487717777814,3262.2977040000033,2400.0,1727.8858814814841,10800.0,91208.399141,58131.244692025895,0.0,0.0,58131.244692025895,6178.721292263378,0,0,0.0,greedy
2025-02-07,0.8,0.0,2400.0,3262.2977040000033,3923.1522277407403,2400.0,2134.5560407407393,10800.0,48742.220705,26114.7124706615,0.0,0.0,26114.7124706615,12757.657873530872,0,0,0.0,greedy
2025-02-08,0.8,0.0,2400.0,3923.1522277407403,3444.0335980370364,2400.0,1700.5132477777768,10800.0,41151.708145,21867.555291514298,0.0,0.0,21867.555291514298,6754.08250520988,0,0,0.0,greedy
2025-02-09,0.8,0.0,2400.0,3444.0335980370364,2952.3035571851865,2400.0,1500.982949185186,10800.0,87830.42871919999,55734.082546086356,0.0,0.0,55734.082546086356,4553.948975349803,0,0,0.0,greedy
2025-02-10,0.8,0.0,2400.0,2952.3035571851865,3013.830355444446,2400.0,1552.7095296296297,10800.0,87946.887262,55600.6680198486,0.0,0.0,55600.6680198486,9720.174832057619,0,0,0.0,greedy
2025-02-11,0.8,0.0,2400.0,3013.830355444446,2512.808418777778,2400.0,1200.0,10800.0,83712.562003,52330.0758787424,125.65664659999916,738.4666418533773,53068.54252059577,4817.61715694239,5,0,0.0,greedy
2025-02-12,0.8,0.0,2400.0,2512.808418777778,3134.7724507037037,2400.0,1603.8484296296294,10800.0,85885.901216,53878.79018525629,0.0,0.0,53878.79018525629,5753.257170654327,0,0,0.0,greedy
2025-02-13,0.8,0.0,2400.0,3134.7724507037037,3191.0282098148155,2400.0,1548.5403259259263,10800.0,86705.47810780001,54909.49061395635,0.0,0.0,54909.49061395635,11578.195887839514,0,0,0.0,greedy
2025-02-14,0.8,0.0,2400.0,3191.0282098148155,3676.9477719259253,2400.0,1976.4836259259253,10800.0,39874.0040343,21349.55343561381,0.0,0.0,21349.55343561381,6183.760360596292,0,0,0.0,greedy
2025-02-15,0.8,0.0,2400.0,3676.9477719259253,3258.1391561851847,2400.0,1812.1950037037032,10800.0,38443.147748,20575.6259800847,0.0,0.0,20575.6259800847,6433.617875489714,0,0,0.0,greedy
2025-02-16,0.8,0.0,2400.0,3258.1391561851847,3012.6360628518537,2400.0,1467.117555555557,10800.0,83527.902145,52515.3286755145,28.319375000000036,128.83899656250017,52644.167672077005,4298.704677901236,1,0,0.0,greedy
2025-02-17,0.8,0.0,2400.0,3012.6360628518537,2885.1950598518533,2400.0,1376.5915333333342,10800.0,82960.56777349999,51899.10814377675,0.0,0.0,51899.10814377675,8230.118488709888,0,0,0.0,greedy
2025-02-18,0.8,0.0,2400.0,2885.1950598518533,2807.244491111111,2400.0,1332.6340334814809,10800.0,79847.656565,49561.556114308594,34.206666666666706,155.62323000000018,49717.17934430859,3777.476417880659,1,0,0.0,greedy
