window,alpha,rho,terminal,cash,inventory_adjusted,emergency_kwh,emergency_days,soc24,elapsed_s
expanding,0.8,0.5,2400.0,925832.4425577438,926581.5804986767,503.26217463333325,2,4184.152580555557,1.103781899990281
expanding,0.8,0.5,3600.0,926553.8002503448,926830.6288654852,503.26217463333325,2,5328.990698555555,1.4853461000020616
expanding,0.8,0.5,4800.0,927234.4967669897,927033.274162985,503.26217463333325,2,6487.746683555555,1.1593088999798056
expanding,0.8,0.5,6000.0,928291.5435944978,927634.9750448233,503.26217463333325,2,7591.466993555556,1.152896600018721
expanding,0.8,0.625,2400.0,925810.66228942,926559.800230353,503.26217463333325,2,4184.152580555557,1.1413930999988224
expanding,0.8,0.625,3600.0,926532.0199820211,926808.8485971615,503.26217463333325,2,5328.990698555555,1.1623862000124063
expanding,0.8,0.625,4800.0,927212.7164986661,927011.4938946614,503.26217463333325,2,6487.746683555555,1.086183000006713
expanding,0.8,0.625,6000.0,928269.763326174,927613.1947764994,503.26217463333325,2,7591.466993555556,1.104385500017088
expanding,0.825,0.5,2400.0,953231.0863271664,953937.2693620143,3.4700399999999263,1,4288.271663444443,1.1029689999995753
expanding,0.825,0.5,3600.0,953998.1944757164,954233.1065772036,3.4700399999999263,1,5430.592805444442,1.0899076999921817
expanding,0.825,0.5,4800.0,954705.8962381196,954463.6204672218,3.4700399999999263,1,6587.256110444443,1.259531399991829
expanding,0.825,0.5,6000.0,955806.2012566815,955111.4657218477,3.4700399999999263,1,7683.980558444443,1.713282100012293
expanding,0.825,0.625,2400.0,953231.0863271664,953937.2693620143,3.4700399999999263,1,4288.271663444443,1.9101118000107817
expanding,0.825,0.625,3600.0,953998.1944757164,954233.1065772036,3.4700399999999263,1,5430.592805444442,1.8322737000125926
expanding,0.825,0.625,4800.0,954705.8962381196,954463.6204672218,3.4700399999999263,1,6587.256110444443,2.0427710999792907
expanding,0.825,0.625,6000.0,955806.2012566815,955111.4657218477,3.4700399999999263,1,7683.980558444443,2.1257556000200566
roll7,0.8,0.5,2400.0,904416.5294366599,905381.7071572941,5952.050962366646,7,3660.4903081851858,1.605007400008617
roll7,0.8,0.5,3600.0,904927.6646636466,905411.7892516672,5908.093174033313,7,4826.522679185185,1.3545805999892764
roll7,0.8,0.5,4800.0,905542.0065574608,905540.0594341933,5912.1575391999795,7,6004.719663185185,1.3292784999939613
roll7,0.8,0.5,6000.0,906296.8454335241,905825.6509594207,5881.790795633313,7,7142.135811185185,1.2985921000072267
roll7,0.8,0.625,2400.0,904349.4688652859,905314.6465859201,5952.050962366646,7,3660.4903081851858,1.3513093999936245
roll7,0.8,0.625,3600.0,904858.2047857041,905342.3293737248,5908.093174033313,7,4826.522679185185,1.29671719999169
roll7,0.8,0.625,4800.0,905473.1116262765,905471.1645030091,5912.1575391999795,7,6004.719663185185,1.25425830000313
roll7,0.8,0.625,6000.0,906226.8436119428,905755.6491378394,5881.790795633313,7,7142.135811185185,1.6754082000115886
roll7,0.825,0.5,2400.0,904995.4917598027,905941.674098035,5138.638863739987,7,3706.5335189629627,1.4178672000125516
roll7,0.825,0.5,3600.0,905520.1011751303,905985.9032691739,5096.206937306656,7,4870.934864962964,1.3467609999934211
roll7,0.825,0.5,4800.0,906153.5653548635,906133.3556691521,5100.08618857332,7,6048.986579962962,1.329951699997764
roll7,0.825,0.5,6000.0,906923.5915423105,906434.2690388921,5068.244618906653,7,7186.076630962963,1.4002791999955662
roll7,0.825,0.625,2400.0,904926.0332862234,905872.2156244557,5138.638863739987,7,3706.5335189629627,1.4218819999950938
roll7,0.825,0.625,3600.0,905452.004138849,905917.8062328926,5096.206937306656,7,4870.934864962964,1.359984999988228
roll7,0.825,0.625,4800.0,906085.1831936141,906064.9735079027,5100.08618857332,7,6048.986579962962,1.3569513999973424
roll7,0.825,0.625,6000.0,906857.5497364316,906368.2272330131,5068.244618906653,7,7186.076630962963,1.2767864000052214
