date,period,purchase_kwh
2025-03-20,10:00-10:10,0.0
2025-03-20,12:00-12:10,645.50108
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,520.15933
2025-03-20,18:00-18:10,710.64155
2025-03-20,20:00-20:10,0.0
2025-03-20,daily_purchase_kwh,69928.89704000001
2025-03-20,daily_plan_cost_yuan,42547.026636548
2025-03-20,daily_emergency_cost_yuan,0.0
2025-03-20,daily_total_cost_yuan,42547.026636548
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,0.0
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,184.0411
2025-06-21,18:00-18:10,0.0
2025-06-21,20:00-20:10,0.0
2025-06-21,daily_purchase_kwh,34724.705755
2025-06-21,daily_plan_cost_yuan,19982.5673215216
2025-06-21,daily_emergency_cost_yuan,0.0
2025-06-21,daily_total_cost_yuan,19982.5673215216
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,498.54969
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,553.29656
2025-09-23,18:00-18:10,780.16089
2025-09-23,20:00-20:10,0.0
2025-09-23,daily_purchase_kwh,70395.52339
2025-09-23,daily_plan_cost_yuan,43819.099827715
2025-09-23,daily_emergency_cost_yuan,42.996187500000005
2025-09-23,daily_total_cost_yuan,43862.096015215
2025-12-21,10:00-10:10,0.0
2025-12-21,12:00-12:10,1035.4689
2025-12-21,14:00-14:10,0.0
2025-12-21,16:00-16:10,888.49109
2025-12-21,18:00-18:10,727.60145
2025-12-21,20:00-20:10,0.0
2025-12-21,daily_purchase_kwh,99002.99525100001
2025-12-21,daily_plan_cost_yuan,64032.725759440706
2025-12-21,daily_emergency_cost_yuan,0.0
2025-12-21,daily_total_cost_yuan,64032.725759440706
