policy,beta_lock,beta_open,lock_slots,pv_p0_mode,total_cost,plan_only_cost,emergency_cost,emergency_kwh,vs_frozen_beta
M1_bl1.5_bo0_ls36,1.5,0.0,36,zero,642471.0135088624,596777.957501195,21558.775767100262,4100.364496766666,-334.0761248979252
M1_bl1_bo0_ls36,1.0,0.0,36,zero,642619.0638887373,596782.4802575151,24995.364810367584,4813.890006999988,-186.02574502292555
M1_bl1.5_bo0.2_ls36,1.5,0.2,36,zero,642689.6653346857,603515.0700718302,21085.014212205893,4002.9619634666624,-115.42429907456972
M1_bl1_bo0.2_ls36,1.0,0.2,36,zero,642805.0896337603,603518.2402174121,24346.83573442432,4677.606497199985,0.0
M1_bl1.5_bo0.5_ls36,1.5,0.5,36,zero,643427.6026906023,613782.347163298,20220.03140708304,3824.911186066665,622.5130568420282
M1_bl2_bo0_ls36,2.0,0.0,36,zero,643627.9664981948,596777.957496884,18555.479131808712,3476.7475470666614,822.8768644345691
M1_bl2_bo0.2_ls36,2.0,0.2,36,zero,643718.036317859,603515.0700761412,17933.75258261675,3352.0603347666593,912.9466840986861
M1_bl1_bo0.5_ls36,1.0,0.5,36,zero,644284.268686338,613784.5338145841,23451.991861662726,4494.013051299987,1479.1790525777033
M1_bl2_bo0.5_ls36,2.0,0.5,36,zero,644619.6685882264,613782.3471589871,17124.648286501757,3179.407788099997,1814.578954466153
M1_bl0.5_bo0_ls36,0.5,0.0,36,zero,646297.5227687828,596784.968833997,30972.12453591883,6034.6874218333105,3492.4331350225257
M1_bl0.5_bo0.2_ls36,0.5,0.2,36,zero,646713.4431019407,603522.0814046322,30384.256013704005,5912.314241599976,3908.3534681804013
M1_bl0.5_bo0.5_ls36,0.5,0.5,36,zero,648894.851594739,613789.358500411,29523.108237137414,5729.661611433311,6089.761960978736
M1_bl1.5_bo1_ls36,1.5,1.0,36,zero,649562.4574827431,631548.4449094342,19577.838233699276,3693.811225966662,6757.367848982802
M1_bl2_bo1_ls36,2.0,1.0,36,zero,649971.6199697478,631548.4449137452,16822.80493925342,3118.633653133332,7166.530335987569
M1_bl1_bo1_ls36,1.0,1.0,36,zero,651123.371580476,631554.2769380091,23154.014814024253,4428.315585199985,8318.281946715782
M1_bl0_bo0_ls36,0.0,0.0,36,zero,653375.5429495516,596786.8900613241,40171.30713545078,7912.183213733311,10570.453315791325
M1_bl0_bo0.2_ls36,0.0,0.2,36,zero,653883.3631620698,603525.4788476891,39282.77388643527,7729.029620599978,11078.273528309539
M1_bl0.5_bo1_ls36,0.5,1.0,36,zero,655672.9676618773,631556.7655101802,28942.954440574067,5610.024430299978,12867.878028117004
M1_bl0_bo0.5_ls36,0.0,0.5,36,zero,656515.4119062873,613794.1510218671,38471.83446795978,7562.093101019983,13710.322272527032
M1_bl0_bo1_ls36,0.0,1.0,36,zero,663563.6801111518,631560.2487723142,38048.01461550981,7473.930372819982,20758.590477391495
