issue_hour,variant,mae,rmse,bias
6,"raw XGB, no update",141.16217116963986,188.5160157447167,-17.655802301581595
6,frozen: scalar ratio,136.3096555817851,175.9456223843492,-15.89212515116398
6,"shrunk ratio, causal factor",151.97656495549734,205.24720075265625,-12.947718387484924
6,causal per-slot regression,147.4955662823618,197.49399554437585,6.746243698568691
6,ceiling of scalar family (hindsight),123.7361633976816,159.04420974495005,0.2517611814328808
12,"raw XGB, no update",144.63147640724407,194.89081561797775,-16.210700138654865
12,frozen: scalar ratio,133.73102613661382,173.62812073229173,-5.288672762678126
12,"shrunk ratio, causal factor",134.67538459168793,175.1527330559774,-2.910899158299713
12,causal per-slot regression,135.148752975301,176.25908482775498,-1.5777096876881025
12,ceiling of scalar family (hindsight),122.73718493937466,157.86943598555388,0.6166749060872924
18,"raw XGB, no update",137.90280706383456,186.58471140240408,-5.175247603653329
18,frozen: scalar ratio,130.5220856397406,169.35478823361316,6.309205063455357
18,"shrunk ratio, causal factor",130.30069250265757,169.95114913734682,3.70735689039083
18,causal per-slot regression,131.3904823924746,172.0502700321867,-4.2312878519572354
18,ceiling of scalar family (hindsight),117.25583976453963,150.95012351240717,-0.31164695768396533
