month,n_days,total_cost,emergency_kwh
2025-02,28,1209504.9327716334,6661.397869033291
2025-03,31,1122967.364392218,6165.9326184999345
2025-04,30,939892.5960742821,5876.968607569971
2025-05,31,977104.2266166594,11742.961622199975
2025-06,30,1300024.825074674,10898.53264968663
2025-07,31,1478011.7034815452,11014.432486226639
2025-08,31,1283810.6099979836,9446.244609189967
2025-09,30,1102872.9424384816,6519.892343199953
2025-10,31,1121063.428619728,6428.651387219961
2025-11,30,1263491.920808639,2647.827684966643
2025-12,31,1659985.7488675641,4825.522463533322
