month,n_days,total_cost,emergency_kwh
2025-02,28,1214704.806234039,7486.743908573294
2025-03,31,1127685.3168291168,6747.754833799933
2025-04,30,931016.8317532969,1157.8842494333194
2025-05,31,988086.7479994667,6106.160937366649
2025-06,30,1318789.7505362248,6657.618826319997
2025-07,31,1496830.1915506562,6237.578367233322
2025-08,31,1281276.791030417,4109.026999433317
2025-09,30,1104495.3712575326,5098.251743233298
2025-10,31,1123751.7323284713,6308.4169865999675
2025-11,30,1266270.6846409105,2735.6414601666374
2025-12,31,1666184.568601876,5233.230073399984
