date,end_min,purchase_kwh,period
2025-03-20,610.0,0.0,
2025-03-20,730.0,523.79617,
2025-03-20,850.0,0.0,
2025-03-20,970.0,620.65232,
2025-03-20,1090.0,691.77483,
2025-03-20,1210.0,0.0,
2025-03-20,,62122.83992,all_day_kwh
2025-03-20,,40461.88813022025,all_day_cost
2025-06-21,610.0,0.0,
2025-06-21,730.0,0.0,
2025-06-21,850.0,0.0,
2025-06-21,970.0,66.186989,
2025-06-21,1090.0,416.74564,
2025-06-21,1210.0,0.0,
2025-06-21,,41112.452307,all_day_kwh
2025-06-21,,22299.428017442002,all_day_cost
2025-09-23,610.0,0.0,
2025-09-23,730.0,357.38243,
2025-09-23,850.0,0.0,
2025-09-23,970.0,505.11003,
2025-09-23,1090.0,793.68054,
2025-09-23,1210.0,0.0,
2025-09-23,,67360.314396,all_day_kwh
2025-09-23,,45342.63920738697,all_day_cost
2025-12-21,610.0,0.0,
2025-12-21,730.0,1017.6972,
2025-12-21,850.0,0.0,
2025-12-21,970.0,842.65704,
2025-12-21,1090.0,722.56997,
2025-12-21,1210.0,0.0,
2025-12-21,,96426.196124,all_day_kwh
2025-12-21,,63458.34535241436,all_day_cost
