date,official,q_load,q_pv,q_source,feature_value,feature_percentile,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,q_min,k,label
2025-02-01,True,0.8,0.2,warmup,283.1793647363486,,6000.0,2942.069156370372,1200.0,46852.841261,20696.859690122,0.0,0,0.0,20696.859690122,12605.09931088889,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-02,True,0.8,0.2,warmup,275.68264781213804,,2942.069156370372,2318.014135,1200.0,93561.25801599999,67477.4652043407,0.0,0,0.0,67477.4652043407,11980.200232386836,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-03,True,0.8,0.2,warmup,270.78561353355474,,2318.014135,1580.3923988148158,1200.0,89945.9996863,64464.38925796073,6.148898366665321,1,40.9670353679077,64505.35629332864,6320.562359423875,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-04,True,0.8,0.2,warmup,272.3467785062559,,1580.3923988148158,1845.8070726666692,1200.0,88308.52169600001,62911.6467910912,0.0,0,0.0,62911.6467910912,2133.7811321399313,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-05,True,0.8,0.2,warmup,258.5900542822591,,1845.8070726666692,1721.1505654444459,1200.0,88374.56345100001,63203.0957324478,0.0,0,0.0,63203.0957324478,3369.4290217695566,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-06,True,0.8,0.2,warmup,273.6611983040875,,1721.1505654444459,2212.362379888891,1200.0,92366.105561,66818.54733579341,0.0,0,0.0,66818.54733579341,7229.306766666667,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-07,True,0.8,0.2,warmup,268.1608306560491,,2212.362379888891,2729.0528080740733,1200.0,49860.70313,21416.358947843,0.0,0,0.0,21416.358947843,13945.526523374498,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-08,True,0.8,0.2,warmup,306.93964634000895,,2729.0528080740733,2249.041280037037,1200.0,42417.49921750001,18116.20939374165,0.0,0,0.0,18116.20939374165,7920.236869413585,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-09,True,0.8,0.2,warmup,301.08131194317633,,2249.041280037037,1836.244691703706,1200.0,88631.227834,63580.134844741406,0.0,0,0.0,63580.134844741406,5601.517855514412,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-10,True,0.8,0.2,warmup,294.63134159116447,,1836.244691703706,2075.5111704444453,1200.0,88618.989673,61456.7159495928,0.0,0,0.0,61456.7159495928,10364.203851399183,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-11,True,0.8,0.2,warmup,309.0317878519123,,2075.5111704444453,1342.9726237777786,1200.0,84201.343036,58531.2832548501,152.0727367666673,6,856.2753982439376,59387.55865309404,5819.157085061735,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-12,True,0.8,0.2,warmup,290.94336343429563,,1342.9726237777786,2058.574050370369,1200.0,86790.31033,59686.0777795776,0.0,0,0.0,59686.0777795776,6878.734946098766,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-13,True,0.8,0.2,warmup,274.6082763547825,,2058.574050370369,2225.0322751111125,1200.0,87647.4822709,60564.00081778914,0.0,0,0.0,60564.00081778914,12483.276499176955,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-14,True,0.8,0.2,warmup,302.27744022243644,,2225.0322751111125,2487.3432978148144,1200.0,40987.055083,17457.4000596656,0.0,0,0.0,17457.4000596656,7392.356223246916,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-15,True,0.8,0.2,warmup,274.02597376876145,,2487.3432978148144,2055.0375815925922,1200.0,39906.3266826,17288.866477664997,0.0,0,0.0,17288.866477664997,7628.271621859262,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-16,True,0.8,0.2,warmup,272.54606241433856,,2055.0375815925922,1996.9039800740738,1200.0,84675.336994,58815.453222877004,0.0,0,0.0,58815.453222877004,5300.936925576137,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-17,True,0.8,0.2,warmup,269.2638603416224,,1996.9039800740738,1860.258076037039,1200.0,83870.26348940001,57536.463947233846,0.0,0,0.0,57536.463947233846,9022.208822972027,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-18,True,0.8,0.2,warmup,257.56607243032016,,1860.258076037039,1591.7257735555559,1200.0,80904.6305141,54401.99350759754,0.0,0,0.0,54401.99350759754,4886.636555032925,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-19,True,0.8,0.2,warmup,262.5890691714686,,1591.7257735555559,1652.738235000004,1200.0,81820.07768300001,54880.009513204895,13.708442999999988,1,73.36073271449993,54953.370245919396,4701.5457122962935,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-20,True,0.8,0.2,warmup,271.83913067220425,,1652.738235000004,2302.64897088889,1200.0,84778.10080300001,58053.73854419839,0.0,0,0.0,58053.73854419839,8947.176683271618,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-21,True,0.8,0.2,warmup,242.3564862758786,,2302.64897088889,2658.881398666666,1200.0,39008.052326000005,16848.115065857302,0.0,0,0.0,16848.115065857302,9603.055933818938,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-22,True,0.6,0.4,rule,239.79172947425394,0.0,2658.881398666666,1787.5711540370373,1200.0,34400.201974999996,14836.099603274899,0.0,0,0.0,14836.099603274899,4192.459771213995,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-23,True,0.6,0.4,rule,235.39385462587234,0.0,1787.5711540370373,1377.973736222222,1200.0,77738.0986797,51875.73669867094,0.0,0,0.0,51875.73669867094,2264.3551862843633,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-24,True,0.6,0.4,rule,234.68313974895125,0.0,1377.973736222222,1299.0434311111112,1200.0,76962.1341224,50865.07557876932,42.53788546666474,4,183.96376933579228,51049.039348105114,4825.882703050205,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-25,True,0.6,0.4,rule,237.49026698462436,0.08333333333333333,1299.0434311111112,1206.0670650000002,1200.0,74216.1826503,47938.339067265915,676.9508589666617,16,3472.007052545133,51410.346119811045,5130.2593929131735,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-26,True,0.6,0.4,rule,258.8424474170748,0.28,1206.0670650000002,1430.747596777778,1200.0,74261.08967399999,48784.383516008296,554.5036987666705,2,3574.073686469842,52358.45720247814,1789.0428324691447,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-27,True,0.6,0.4,rule,252.27165285784952,0.19230769230769232,1430.747596777778,1457.9109769259285,1200.0,75729.84617199999,48576.137371519304,2.0500243333332264,1,10.398748430832791,48586.536119950135,4029.3462138724353,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-02-28,True,0.6,0.4,rule,261.46379723389805,0.3333333333333333,1457.9109769259285,1986.927463259262,1200.0,35776.05295,14991.2052413958,0.0,0,0.0,14991.2052413958,8615.508348847745,0.6,0.1,resid_vol7_qmin0.60_k0.10
2025-03-01,True,0.6,0.4,rule,265.9171211877477,0.39285714285714285,1986.927463259262,1755.8011476296292,1200.0,33954.97234596,14080.932002764052,0.0,0,0.0,14080.932002764052,7489.165281746022,0.6,0.1,resid_vol7_qmin0.60_k0.10
