label,feature,q_min,k,full_cost,full_emergency_kwh,full_plan_cost,elapsed_s,lp_s,q_counts,inner_cost,inner_emergency_kwh,inner_n_days,select_cost,select_emergency_kwh,select_n_days,tune_cost,tune_emergency_kwh,tune_n_days,oos_cost,oos_emergency_kwh,oos_n_days,full_n_days
resid_vol7_qmin0.60_k0.30,resid_vol7,0.6,0.3,14514966.474833768,97449.23126956174,13919219.937245764,212.61576300000888,35.032794300001115,"{""0.6"": 82, ""0.7"": 47, ""0.8"": 88, ""0.85"": 80, ""0.9"": 37}",3424813.9315601224,5596.319647789984,89,2424199.5985382227,19670.42022830666,61,5849013.530098345,25266.739876096646,150,8665952.944735425,72182.49139346511,184,334
resid_vol7_qmin0.65_k0.20,resid_vol7,0.65,0.2,14411957.355271261,79132.69170777654,13925991.712158252,203.04492480000772,25.461956099999952,"{""0.7"": 129, ""0.8"": 145, ""0.85"": 60}",3413035.8372289874,8208.170125299983,89,2426341.1776714907,27585.161097299977,61,5839377.0149004795,35793.33122259996,150,8572580.340370782,43339.36048517657,184,334
resid_vol7_qmin0.75_k0.10,resid_vol7,0.75,0.1,14471932.759435708,48579.87221235437,14180698.220926292,200.81737230000726,23.234403599999496,"{""0.7"": 15, ""0.8"": 202, ""0.85"": 117}",3420658.739819863,4790.022775286669,89,2429544.8001539614,24077.079720106656,61,5850203.539973824,28867.102495393327,150,8621729.219461884,19712.769716961047,184,334
resid_vol7_qmin0.60_k0.20,resid_vol7,0.6,0.2,14517356.213060806,144483.1928094803,13626661.529221501,200.22943840001244,22.646469700004673,"{""0.6"": 94, ""0.7"": 102, ""0.8"": 138}",3394362.4409798933,13145.390531428957,89,2431773.8914423315,35353.30631539628,61,5826136.332422226,48498.69684682523,150,8691219.88063858,95984.49596265508,184,334
resid_vol7_qmin0.70_k0.10,resid_vol7,0.7,0.1,14413025.809540369,89543.91320912851,13861616.466011073,203.27261080000608,25.68964209999831,"{""0.7"": 129, ""0.8"": 205}",3403431.5280951937,9926.614261162307,89,2433173.7980559524,32906.98489536963,61,5836605.326151146,42833.59915653193,150,8576420.483389221,46710.31405259657,184,334
resid_vol7_qmin0.70_k0.20,resid_vol7,0.7,0.2,14497478.20883168,55380.11455143327,14162330.171304166,201.0165484000172,23.43357970000943,"{""0.7"": 94, ""0.8"": 82, ""0.85"": 98, ""0.9"": 60}",3439556.641631802,2470.6891469233306,89,2445092.6204739036,19613.938590583326,61,5884649.262105706,22084.627737506657,150,8612828.946725972,33295.486813926604,184,334
resid_vol7_qmin0.65_k0.30,resid_vol7,0.65,0.3,14544087.426846068,51087.31589649325,14231657.624672366,203.96398680000857,26.3810181000008,"{""0.7"": 106, ""0.8"": 63, ""0.85"": 48, ""0.9"": 117}",3445288.9498152845,1256.4959606566626,89,2449577.007402883,15120.239392143318,61,5894865.957218166,16376.735352799979,150,8649221.469627902,34710.580543693264,184,334
resid_vol7_qmin0.80_k0.10,resid_vol7,0.8,0.1,14646171.48792589,29028.09985626438,14474723.215278238,215.05588060000446,37.47291189999669,"{""0.8"": 115, ""0.85"": 102, ""0.9"": 117}",3468091.6983338627,791.2092719099926,89,2453739.983320526,15108.704599143317,61,5921831.681654388,15899.913871053308,150,8724339.806271503,13128.185985211068,184,334
resid_vol7_qmin0.75_k0.20,resid_vol7,0.75,0.2,14672543.899696713,31376.216176831032,14487514.932144795,200.3232018000126,22.740233100004843,"{""0.7"": 15, ""0.8"": 119, ""0.85"": 42, ""0.9"": 158}",3470959.424873124,672.7153539433261,89,2464661.8939218535,15095.28277767665,61,5935621.318794977,15767.998131619974,150,8736922.580901735,15608.218045211052,184,334
resid_vol7_qmin0.70_k0.30,resid_vol7,0.7,0.3,14617966.172937486,42113.35085352659,14366209.207268843,201.19087960000616,23.607910899998387,"{""0.7"": 82, ""0.8"": 60, ""0.85"": 27, ""0.9"": 165}",3470113.8669634797,905.5490844233256,89,2466329.1955367997,15089.995753676649,61,5936443.062500279,15995.544838099975,150,8681523.110437205,26117.80601542662,184,334
