date,total_cost,plan_cost,emergency_cost,emergency_kwh
2025-02-01,17336.86576230445,17988.1619520854,0.0,0.0
2025-02-02,61515.50554947702,59893.4371590499,2325.7324244049923,367.3076824999988
2025-02-03,66974.31590671213,59775.222394075194,6356.552394529839,1069.3270141999953
2025-02-04,64290.8295181891,61578.899470238,0.0,0.0
2025-02-05,65884.30118019467,56372.0886219511,2087.2144837334195,333.8533703333336
2025-02-06,63479.75548821162,64502.49058373405,558.336787887802,88.06626930000027
2025-02-07,18009.409048053683,18573.697546773,372.64837755833145,93.13913333333284
2025-02-08,16756.43523943591,14346.349263753998,687.9803460636599,141.6862235666653
2025-02-09,63022.84888711109,59247.08215289371,908.6964726734475,177.8854477733295
2025-02-10,55593.69355976506,53528.87329416949,308.23033978366834,68.00300266666704
2025-02-11,60014.75973736006,52688.151532827396,3042.2595005012663,565.7664751999969
2025-02-12,61096.17821588951,54067.6875581114,5768.738966813856,1074.4110810666648
2025-02-13,53068.5996390572,51177.70269778045,398.89486207514545,79.40942989999658
2025-02-14,15653.063107357995,14680.14483763341,0.0,0.0
2025-02-15,16007.700104906804,15041.397940386003,417.277620448317,140.97286886666666
2025-02-16,57305.084629981626,56751.2168354333,697.6541096182893,133.77319446666348
2025-02-17,55329.32088315986,55367.4919159334,1541.7193677917114,261.72053753999
2025-02-18,55684.61215474697,45189.5500497366,231.89954906266854,46.26826766666704
2025-02-19,57853.572770307976,46807.310972962,4153.245818204727,801.7860676433138
2025-02-20,53247.66768834093,52420.93750385203,483.66444365641814,91.51284050333322
2025-02-21,14670.1279794203,14586.411926512299,0.0,0.0
2025-02-22,15354.272845824751,14447.5674601172,0.0,0.0
2025-02-23,53192.40919858163,50650.6903786083,514.0254508187825,114.01623239999961
2025-02-24,50012.55469697727,48218.97829001888,1038.6963963418864,210.53696029999776
2025-02-25,48911.67320467177,46516.49923368226,1057.073066276841,223.1744571000011
2025-02-26,53450.208169321166,43480.334428905466,2158.472685374738,410.9568478333311
2025-02-27,48589.32278891919,44818.2254383346,1619.2437663450805,298.23232296666606
2025-02-28,13960.46115835936,13813.92683406436,0.0,0.0
2025-03-01,16688.499010093918,14531.6900494211,2706.423385594369,578.5717784666671
2025-03-02,58588.37543515807,51721.050026337296,5582.001638081465,1015.7392312999966
2025-03-03,54987.370243080906,51934.856773783,2417.308977637503,498.7953947333308
2025-03-04,51230.82755425155,43250.5117579542,3.1064865000005213,0.6247333333334382
2025-03-05,48180.529658131985,45569.7762425946,1602.463386808184,297.36321526666876
2025-03-06,46449.5949481884,43849.7117052246,603.4215561711985,195.5923986666661
2025-03-07,14956.966886456385,13964.4191289715,1577.7208220533344,408.4261932666668
2025-03-08,14338.217211129859,12278.65004991717,363.97183198869425,105.93121219999799
2025-03-09,45229.943008942595,44792.110728549495,0.0,0.0
2025-03-10,50999.70676780088,44269.567994204,1501.3715388346845,282.4500706999974
2025-03-11,49804.48898781844,35452.60499215,1094.192375422432,202.83319889999675
2025-03-12,45801.82638046231,42528.5004199782,2068.386810891915,388.3459413666547
2025-03-13,49019.879779399846,45688.023200882795,1153.1985424044756,184.41720116666284
2025-03-14,12427.6670777787,12356.5768226662,0.0,0.0
2025-03-15,14266.856235302817,12060.40816904878,1673.818140621308,452.75139456666466
2025-03-16,45010.22110056025,42664.5637802,8.081100000000493,1.6400000000001
2025-03-17,41681.082300590126,38199.750014341604,834.479034945421,164.18820283332514
2025-03-18,43054.69289162743,42316.979479453,24.28662272842831,11.841356766664216
2025-03-19,42703.059812482614,35884.86613481074,0.0,0.0
2025-03-20,45126.79630308265,42078.297480371,2012.1638762231485,353.16998989999047
2025-03-21,13026.362595379487,11556.40110675645,1239.5564705973143,361.0995332333325
2025-03-22,11940.6807939822,12086.9880560509,0.0,0.0
2025-03-23,43328.17478617593,41842.202969538004,2251.7341332484307,405.20749326666646
2025-03-24,41132.320564071546,39418.690363622794,863.3761523126495,222.22192859999495
2025-03-25,42923.490524356646,41179.0043274067,0.0,0.0
2025-03-26,40124.168843020714,37657.6906513438,1961.694494282411,321.1962916333324
2025-03-27,39812.879705123494,40059.182420228,138.67226490199133,46.311329599997656
2025-03-28,12783.366358828987,11748.5275477184,1203.6877210825853,287.7914455666671
2025-03-29,12243.752958895622,11057.65871069866,799.8364084103524,196.09938126666293
2025-03-30,37414.5106407282,38203.0804483435,0.0,0.0
2025-03-31,39076.45293072218,34449.712624244,330.7696363466834,69.35337023333064
2025-04-01,44047.65170149587,39438.144892253804,223.59028849877026,34.39447796666468
2025-04-02,43588.20826837056,38790.4218759646,2110.617883608455,317.00478876666494
2025-04-03,40725.51634675988,41158.568667353116,1257.8004700372744,220.00330046666255
2025-04-04,11246.16637723633,10961.993211518002,407.56384724442745,98.36221726666525
