label,policy,beta_lock,beta_open,tune_emergency_kwh,elapsed_s,inner_cost,inner_emergency_kwh,inner_n_days,select_cost,select_emergency_kwh,select_n_days,tune_cost,tune_n_days
LA_bl0.5_bo0.2,LA,0.5,0.2,53529.977996052396,60.50202269999136,3340071.6032665586,25721.827700805803,89,2332590.259336808,27808.150295246585,61,5672661.862603366,150
LA_bl0.5_bo0,LA,0.5,0.0,53668.655179872396,70.29613000000245,3336450.1238275543,25831.681096445805,89,2333565.2388761602,27836.974083426583,61,5670015.3627037145,150
LA_bl0.5_bo0.5,LA,0.5,0.5,52937.19799749339,55.102659899988794,3346970.627900958,25178.81100660681,89,2335448.3860941436,27758.386990886585,61,5682419.013995104,150
LA_bl1_bo0.5,LA,1.0,0.5,43822.36252731311,56.58182799999486,3330514.1959835445,19488.831045326508,89,2338580.10102552,24333.5314819866,61,5669094.297009064,150
LA_bl1_bo0.2,LA,1.0,0.2,44188.91165070878,52.79898820001108,3324441.1581965704,19849.037479888837,89,2339066.377702631,24339.874170819938,61,5663507.535899201,150
LA_bl0_bo0,LA,0.0,0.0,65907.5756002123,64.20539629999257,3371198.505989345,34076.68701752171,89,2341595.0760756107,31830.88858269057,61,5712793.5820649555,150
LA_bl0_bo0.2,LA,0.0,0.2,65411.597139939935,64.20322260000103,3373891.6473566047,33654.500406951716,89,2341757.925604716,31757.096732988233,61,5715649.572961321,150
LA_bl1_bo0,LA,1.0,0.0,44463.536215056425,67.2341013999976,3323582.93698539,20076.839000803157,89,2341872.012993859,24386.69721425326,61,5665454.949979249,150
LA_bl0_bo0.5,LA,0.0,0.5,64622.356027029935,56.756903400004376,3383451.340405149,33102.20314909106,89,2345945.011706627,31520.152877938886,61,5729396.352111775,150
LA_bl0.5_bo1,LA,0.5,1.0,51946.032373292066,52.35099630001059,3374319.444715214,24708.441886922148,89,2349067.0361938635,27237.590486369925,61,5723386.480909078,150
LA_bl1_bo1,LA,1.0,1.0,43276.75794436644,65.02933340000163,3353239.386855035,19000.365838146507,89,2349454.3154268055,24276.392106219933,61,5702693.70228184,150
LA_bl1.5_bo0.5,LA,1.5,0.5,37112.767878723185,94.9503423999995,3331159.672620791,15396.748452003229,89,2354030.759325621,21716.019426719962,61,5685190.431946412,150
LA_bl1.5_bo0.2,LA,1.5,0.2,37359.41584962318,92.40102960000513,3326392.8332244614,15649.748841836557,89,2356721.789982735,21709.66700778662,61,5683114.623207197,150
LA_bl1.5_bo1,LA,1.5,1.0,36813.99821770318,59.78624619999027,3349627.940976082,15111.523772116556,89,2360357.215242764,21702.47444558662,61,5709985.156218845,150
LA_bl0_bo1,LA,0.0,1.0,62923.844888768646,54.34557710000081,3411694.7104846765,32286.33442596541,89,2360761.0982225672,30637.510462803235,61,5772455.808707244,150
LA_bl1.5_bo0,LA,1.5,0.0,37632.36387165651,94.42007829999784,3326966.2794165295,15849.93876830323,89,2361613.486318929,21782.425103353282,61,5688579.765735459,150
LA_bl2_bo0.5,LA,2.0,0.5,32352.58390019353,80.60990520000632,3345110.5155499666,12655.51800290991,89,2378290.669114971,19697.065897283614,61,5723401.184664937,150
LA_bl2_bo1,LA,2.0,1.0,32131.678285593523,75.0866662000044,3359143.5868769977,12416.186350143238,89,2378976.4236948215,19715.491935450285,61,5738120.010571819,150
LA_bl2_bo0.2,LA,2.0,0.2,32523.61822546319,95.10963649999758,3343176.193679622,12846.467971909906,89,2383741.890084181,19677.150253553285,61,5726918.083763802,150
LA_bl2_bo0,LA,2.0,0.0,32743.17847559652,93.5440024999989,3345148.4519880055,13009.127778709906,89,2389433.176140516,19734.050696886614,61,5734581.628128521,150
