date,end_min,purchase_kwh,period
2025-03-20,610.0,0.0,
2025-03-20,730.0,641.27471,
2025-03-20,850.0,0.0,
2025-03-20,970.0,466.07513,
2025-03-20,1090.0,0.0,
2025-03-20,1210.0,0.0,
2025-03-20,,70570.8618441,all_day_kwh
2025-03-20,,44640.38448022285,all_day_cost
2025-06-21,610.0,0.0,
2025-06-21,730.0,0.0,
2025-06-21,850.0,0.0,
2025-06-21,970.0,127.67023,
2025-06-21,1090.0,437.6174,
2025-06-21,1210.0,0.0,
2025-06-21,,35205.934869,all_day_kwh
2025-06-21,,17564.6659333286,all_day_cost
2025-09-23,610.0,0.0,
2025-09-23,730.0,554.72563,
2025-09-23,850.0,0.0,
2025-09-23,970.0,475.18647,
2025-09-23,1090.0,0.0,
2025-09-23,1210.0,816.4447,
2025-09-23,,68848.06967,all_day_kwh
2025-09-23,,44716.634256770994,all_day_cost
2025-12-21,610.0,0.0,
2025-12-21,730.0,1052.6892,
2025-12-21,850.0,0.0,
2025-12-21,970.0,841.16913,
2025-12-21,1090.0,739.52684,
2025-12-21,1210.0,0.0,
2025-12-21,,98970.29897959999,all_day_kwh
2025-12-21,,75354.93100364192,all_day_cost
