date,period,emergency_kwh
2025-03-20,9:30-10:10,159.90417479999195
2025-03-20,20:40-20:50,148.23184169999865
2025-03-20,21:30-21:50,45.03397339999983
2025-06-21,0:00-0:10,11.434536666666531
2025-06-21,0:30-0:40,31.90252739999978
2025-06-21,2:20-2:40,12.56010600000004
2025-06-21,2:50-3:50,147.3435181333332
2025-06-21,4:00-4:30,46.11705200000006
2025-09-23,9:10-10:00,257.4469599999991
2025-09-23,20:20-20:30,10.234366666666801
2025-09-23,20:40-20:50,196.4764670666666
2025-09-23,21:00-21:20,70.06906239999996
2025-12-21,8:00-8:20,22.876079333333337
2025-12-21,20:40-20:50,112.7626943333346
